CD_LAU|CD_MUNTY_REFNIS|TX_DESCR_DE|TX_DESCR_EN|TX_DESCR_FR|TX_DESCR_NL|DT_VLDT_STRT|DT_VLDT_STOP|CD_LVL_SUP|CD_LVL
13023|13023|Merksplas|Merksplas|Merksplas|Merksplas|1900-01-01|9999-12-31|BE213|4
13025|13025|Mol|Mol|Mol|Mol|1900-01-01|9999-12-31|BE213|4
13029|13029|Olen|Olen|Olen|Olen|1900-01-01|9999-12-31|BE213|4
13031|13031|Oud-Turnhout|Oud-Turnhout|Oud-Turnhout|Oud-Turnhout|1900-01-01|9999-12-31|BE213|4
13035|13035|Ravels|Ravels|Ravels|Ravels|1900-01-01|9999-12-31|BE213|4
13036|13036|Retie|Retie|Retie|Retie|1900-01-01|9999-12-31|BE213|4
13037|13037|Rijkevorsel|Rijkevorsel|Rijkevorsel|Rijkevorsel|1900-01-01|9999-12-31|BE213|4
13040|13040|Turnhout|Turnhout|Turnhout|Turnhout|1900-01-01|9999-12-31|BE213|4
13044|13044|Vorselaar|Vorselaar|Vorselaar|Vorselaar|1900-01-01|9999-12-31|BE213|4
13046|13046|Vosselaar|Vosselaar|Vosselaar|Vosselaar|1900-01-01|9999-12-31|BE213|4
13049|13049|Westerlo|Westerlo|Westerlo|Westerlo|1900-01-01|9999-12-31|BE213|4
13053|13053|Laakdal|Laakdal|Laakdal|Laakdal|1900-01-01|9999-12-31|BE213|4
71002|71002|As|As|As|As|1900-01-01|2019-01-01|BE221|4
71004|71004|Beringen|Beringen|Beringen|Beringen|1900-01-01|2019-01-01|BE221|4
71011|71011|Diepenbeek|Diepenbeek|Diepenbeek|Diepenbeek|1900-01-01|2019-01-01|BE221|4
71016|71016|Genk|Genk|Genk|Genk|1900-01-01|2019-01-01|BE221|4
71017|71017|Gingelom|Gingelom|Gingelom|Gingelom|1900-01-01|2019-01-01|BE221|4
71020|71020|Halen|Halen|Halen|Halen|1900-01-01|2019-01-01|BE221|4
71022|71022|Hasselt|Hasselt|Hasselt|Hasselt|1900-01-01|2019-01-01|BE221|4
71024|71024|Herk-de-Stad|Herk-de-Stad|Herck-la-Ville|Herk-de-Stad|1900-01-01|2019-01-01|BE221|4
71034|71034|Leopoldsburg|Leopoldsburg|Bourg-Léopold|Leopoldsburg|1900-01-01|2019-01-01|BE221|4
71037|71037|Lummen|Lummen|Lummen|Lummen|1900-01-01|2019-01-01|BE221|4
71045|71045|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|Nieuwerkerken (Hasselt)|1900-01-01|2019-01-01|BE221|4
71047|71047|Opglabbeek|Opglabbeek|Opglabbeek|Opglabbeek|1900-01-01|2019-01-01|BE221|4
71053|71053|Sint-Truiden|Sint-Truiden|Saint-Trond|Sint-Truiden|1900-01-01|2019-01-01|BE221|4
71057|71057|Tessenderlo|Tessenderlo|Tessenderlo|Tessenderlo|1900-01-01|2019-01-01|BE221|4
71066|71066|Zonhoven|Zonhoven|Zonhoven|Zonhoven|1900-01-01|2019-01-01|BE221|4
71067|71067|Zutendaal|Zutendaal|Zutendaal|Zutendaal|1900-01-01|2019-01-01|BE221|4
71069|71069|Ham|Ham|Ham|Ham|1900-01-01|2019-01-01|BE221|4
71070|71070|Heusden-Zolder|Heusden-Zolder|Heusden-Zolder|Heusden-Zolder|1900-01-01|2019-01-01|BE221|4
72003|72003|Bocholt|Bocholt|Bocholt|Bocholt|1900-01-01|2019-01-01|BE222|4
72004|72004|Bree|Bree|Bree|Bree|1900-01-01|2019-01-01|BE222|4
72018|72018|Kinrooi|Kinrooi|Kinrooi|Kinrooi|1900-01-01|2019-01-01|BE222|4
72020|72020|Lommel|Lommel|Lommel|Lommel|1900-01-01|2019-01-01|BE222|4
72021|72021|Maaseik|Maaseik|Maaseik|Maaseik|1900-01-01|2019-01-01|BE222|4
72025|72025|Neerpelt|Neerpelt|Neerpelt|Neerpelt|1900-01-01|2019-01-01|BE222|4
72029|72029|Overpelt|Overpelt|Overpelt|Overpelt|1900-01-01|2019-01-01|BE222|4
72030|72030|Peer|Peer|Peer|Peer|1900-01-01|2019-01-01|BE222|4
72037|72037|Hamont-Achel|Hamont-Achel|Hamont-Achel|Hamont-Achel|1900-01-01|2019-01-01|BE222|4
72038|72038|Hechtel-Eksel|Hechtel-Eksel|Hechtel-Eksel|Hechtel-Eksel|1900-01-01|2019-01-01|BE222|4
72039|72039|Houthalen-Helchteren|Houthalen-Helchteren|Houthalen-Helchteren|Houthalen-Helchteren|1900-01-01|2019-01-01|BE222|4
72040|72040|Meeuwen-Gruitrode|Meeuwen-Gruitrode|Meeuwen-Gruitrode|Meeuwen-Gruitrode|1900-01-01|2019-01-01|BE222|4
72041|72041|Dilsen-Stokkem|Dilsen-Stokkem|Dilsen-Stokkem|Dilsen-Stokkem|1900-01-01|2019-01-01|BE222|4
73001|73001|Alken|Alken|Alken|Alken|1900-01-01|9999-12-31|BE223|4
73006|73006|Bilzen|Bilzen|Bilzen|Bilzen|1900-01-01|9999-12-31|BE223|4
73009|73009|Borgloon|Borgloon|Looz|Borgloon|1900-01-01|9999-12-31|BE223|4
73022|73022|Heers|Heers|Heers|Heers|1900-01-01|9999-12-31|BE223|4
73028|73028|Herstappe|Herstappe|Herstappe|Herstappe|1900-01-01|9999-12-31|BE223|4
73032|73032|Hoeselt|Hoeselt|Hoeselt|Hoeselt|1900-01-01|9999-12-31|BE223|4
73040|73040|Kortessem|Kortessem|Kortessem|Kortessem|1900-01-01|9999-12-31|BE223|4
73042|73042|Lanaken|Lanaken|Lanaken|Lanaken|1900-01-01|9999-12-31|BE223|4
73066|73066|Riemst|Riemst|Riemst|Riemst|1900-01-01|9999-12-31|BE223|4
73083|73083|Tongeren|Tongeren|Tongres|Tongeren|1900-01-01|9999-12-31|BE223|4
73098|73098|Wellen|Wellen|Wellen|Wellen|1900-01-01|9999-12-31|BE223|4
73107|73107|Maasmechelen|Maasmechelen|Maasmechelen|Maasmechelen|1900-01-01|9999-12-31|BE223|4
73109|73109|Voeren|Voeren|Fourons|Voeren|1900-01-01|9999-12-31|BE223|4
41002|41002|Aalst (Aalst)|Aalst (Aalst)|Alost (Alost)|Aalst (Aalst)|1900-01-01|9999-12-31|BE231|4
41011|41011|Denderleeuw|Denderleeuw|Denderleeuw|Denderleeuw|1900-01-01|9999-12-31|BE231|4
41018|41018|Geraardsbergen|Geraardsbergen|Grammont|Geraardsbergen|1900-01-01|9999-12-31|BE231|4
41024|41024|Haaltert|Haaltert|Haaltert|Haaltert|1900-01-01|9999-12-31|BE231|4
41027|41027|Herzele|Herzele|Herzele|Herzele|1900-01-01|9999-12-31|BE231|4
41034|41034|Lede|Lede|Lede|Lede|1900-01-01|9999-12-31|BE231|4
41048|41048|Ninove|Ninove|Ninove|Ninove|1900-01-01|9999-12-31|BE231|4
41063|41063|Sint-Lievens-Houtem|Sint-Lievens-Houtem|Sint-Lievens-Houtem|Sint-Lievens-Houtem|1900-01-01|9999-12-31|BE231|4
41081|41081|Zottegem|Zottegem|Zottegem|Zottegem|1900-01-01|9999-12-31|BE231|4
41082|41082|Erpe-Mere|Erpe-Mere|Erpe-Mere|Erpe-Mere|1900-01-01|9999-12-31|BE231|4
42003|42003|Berlare|Berlare|Berlare|Berlare|1900-01-01|9999-12-31|BE232|4
42004|42004|Buggenhout|Buggenhout|Buggenhout|Buggenhout|1900-01-01|9999-12-31|BE232|4
42006|42006|Dendermonde|Dendermonde|Termonde|Dendermonde|1900-01-01|9999-12-31|BE232|4
42008|42008|Hamme (Dendermonde)|Hamme (Dendermonde)|Hamme (Termonde)|Hamme (Dendermonde)|1900-01-01|9999-12-31|BE232|4
42010|42010|Laarne|Laarne|Laarne|Laarne|1900-01-01|9999-12-31|BE232|4
42011|42011|Lebbeke|Lebbeke|Lebbeke|Lebbeke|1900-01-01|9999-12-31|BE232|4
42023|42023|Waasmunster|Waasmunster|Waasmunster|Waasmunster|1900-01-01|9999-12-31|BE232|4
42025|42025|Wetteren|Wetteren|Wetteren|Wetteren|1900-01-01|9999-12-31|BE232|4
42026|42026|Wichelen|Wichelen|Wichelen|Wichelen|1900-01-01|9999-12-31|BE232|4
42028|42028|Zele|Zele|Zele|Zele|1900-01-01|9999-12-31|BE232|4
43002|43002|Assenede|Assenede|Assenede|Assenede|1900-01-01|9999-12-31|BE233|4
43005|43005|Eeklo|Eeklo|Eeklo|Eeklo|1900-01-01|9999-12-31|BE233|4
43007|43007|Kaprijke|Kaprijke|Kaprijke|Kaprijke|1900-01-01|9999-12-31|BE233|4
43010|43010|Maldegem|Maldegem|Maldegem|Maldegem|1900-01-01|9999-12-31|BE233|4
43014|43014|Sint-Laureins|Sint-Laureins|Sint-Laureins|Sint-Laureins|1900-01-01|9999-12-31|BE233|4
43018|43018|Zelzate|Zelzate|Zelzate|Zelzate|1900-01-01|9999-12-31|BE233|4
44001|44001|Aalter|Aalter|Aalter|Aalter|1900-01-01|2019-01-01|BE234|4
44011|44011|Deinze|Deinze|Deinze|Deinze|1900-01-01|2019-01-01|BE234|4
44012|44012|De Pinte|De Pinte|De Pinte|De Pinte|1900-01-01|9999-12-31|BE234|4
44013|44013|Destelbergen|Destelbergen|Destelbergen|Destelbergen|1900-01-01|9999-12-31|BE234|4
44019|44019|Evergem|Evergem|Evergem|Evergem|1900-01-01|9999-12-31|BE234|4
44020|44020|Gavere|Gavere|Gavere|Gavere|1900-01-01|9999-12-31|BE234|4
44021|44021|Gent|Gent|Gand|Gent|1900-01-01|9999-12-31|BE234|4
44029|44029|Knesselare|Knesselare|Knesselare|Knesselare|1900-01-01|2019-01-01|BE234|4
44034|44034|Lochristi|Lochristi|Lochristi|Lochristi|1900-01-01|9999-12-31|BE234|4
44036|44036|Lovendegem|Lovendegem|Lovendegem|Lovendegem|1900-01-01|2019-01-01|BE234|4
44040|44040|Melle|Melle|Melle|Melle|1900-01-01|9999-12-31|BE234|4
44043|44043|Merelbeke|Merelbeke|Merelbeke|Merelbeke|1900-01-01|9999-12-31|BE234|4
