Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Eeklo ,43005,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.07,0.11,0.83
 Erpe-Mere ,41082,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.02,0.09,0.89
 Erpe-Mere ,41082,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.07,0.9
 Essen ,11016,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.08,0.87
 Essen ,11016,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.08,0.89
 Evergem ,44019,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.15,0.78
 Evergem ,44019,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.17,0.16,0.67
 Galmaarden ,23023,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.08,0.85
 Galmaarden ,23023,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.11,0.79
 Gavere ,44020,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.09,0.84
 Gavere ,44020,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.08,0.87
 Geel ,13008,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.1,0.82
 Geel ,13008,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.18,0.13,0.69
 Geetbets ,24028,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.09,0.13,0.78
 Geetbets ,24028,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.12,0.79
 Genk ,71016,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.03,0.06,0.91
 Genk ,71016,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.12,0.1,0.79
 Genk ,71016,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.08,0.86
 Genk ,71016,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.06,0.09,0.85
 Gent ,44021,ja,Tevredenheid over huisvuilvoorzieningen,2011,0.07,0.13,0.8
 Gent ,44021,ja,Tevredenheid over huisvuilvoorzieningen,2014,0.06,0.08,0.86
 Gent ,44021,ja,Tevredenheid over huisvuilvoorzieningen,2017,0.06,0.09,0.85
 Gent ,44021,ja,Tevredenheid over huisvuilvoorzieningen,2020,0.08,0.11,0.81
 Geraardsbergen ,41018,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.09,0.83
 Geraardsbergen ,41018,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.11,0.12,0.77
 Gingelom ,71017,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.05,0.91
 Gingelom ,71017,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.03,0.08,0.89
 Gistel ,35005,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.03,0.08,0.89
 Gistel ,35005,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.04,0.09,0.87
 Glabbeek ,24137,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.07,0.89
 Glabbeek ,24137,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.07,0.87
 Gooik ,23024,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.09,0.84
 Gooik ,23024,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.12,0.06,0.82
 Grimbergen ,23025,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.07,0.08,0.85
 Grimbergen ,23025,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.1,0.11,0.79
 Grobbendonk ,13010,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.08,0.11,0.81
 Grobbendonk ,13010,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.09,0.11,0.8
 Haacht ,24033,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.04,0.08,0.88
 Haacht ,24033,nee,Tevredenheid over huisvuilvoorzieningen,2020,0.05,0.07,0.89
 Haaltert ,41024,nee,Tevredenheid over huisvuilvoorzieningen,2017,0.05,0.1,0.86
