Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit (%),Tot 12 keer (%),Meer dan 12 keer (%),Niet aanwezig in de eigen gemeente (%)
 Leopoldsburg ,71034,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.4,0.52,0.01
 Leuven ,24062,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.59,0.25,nvt
 Leuven ,24062,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.05,0.34,0.6,0.01
 Lichtervelde ,36011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.52,0.24,nvt
 Lichtervelde ,36011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.64,0.22,nvt
 Lichtervelde ,36011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.21,0.59,0.19,0.02
 Lichtervelde ,36011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.18,0.63,0.16,0.03
 Liedekerke ,23044,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.29,0.45,0.26,nvt
 Liedekerke ,23044,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.26,0.52,0.22,nvt
 Liedekerke ,23044,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.48,0.41,0
 Liedekerke ,23044,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.53,0.37,0
 Lier ,12021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.46,0.3,nvt
 Lier ,12021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.22,0.53,0.25,nvt
 Lier ,12021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.33,0.58,0.01
 Lier ,12021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.41,0.5,0.01
 Lierde ,45063,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.27,0.47,0.27,nvt
 Lierde ,45063,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.55,0.26,nvt
 Lierde ,45063,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.25,0.35,0.27,0.13
 Lierde ,45063,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.2,0.39,0.29,0.12
 Lievegem ,44085,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.56,0.26,nvt
 Lievegem ,44085,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.17,0.41,0.35,0.07
 Lille ,13019,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.5,0.29,nvt
 Lille ,13019,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.55,0.28,nvt
 Lille ,13019,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.32,0.61,0.01
 Lille ,13019,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.34,0.58,0.01
 Linkebeek ,23100,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.17,0.4,0.43,nvt
 Linkebeek ,23100,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.07,0.52,0.41,nvt
 Linkebeek ,23100,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.19,0.73,0
 Linkebeek ,23100,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.05,0.32,0.62,0.01
 Lint ,11025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.17,0.48,0.35,nvt
 Lint ,11025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.1,0.54,0.36,nvt
 Lint ,11025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.47,0.45,0
 Lint ,11025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.5,0.44,0
 Linter ,24133,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.44,0.3,nvt
 Linter ,24133,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.54,0.28,nvt
 Linter ,24133,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.19,0.33,0.41,0.06
 Linter ,24133,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.4,0.43,0.08
 Lochristi ,44034,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.19,0.51,0.3,nvt
 Lochristi ,44034,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.56,0.29,nvt
 Lochristi ,44034,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.16,0.47,0.26,0.11
 Lochristi ,44034,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.14,0.49,0.28,0.09
 Lokeren ,46014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.27,0.51,0.22,nvt
 Lokeren ,46014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.23,0.54,0.22,nvt
 Lokeren ,46014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.43,0.5,0.01
 Lokeren ,46014,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.45,0.47,0.01
 Lommel ,72020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.28,0.49,0.23,nvt
 Lommel ,72020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.23,0.51,0.26,nvt
 Lommel ,72020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.04,0.34,0.62,0
 Lommel ,72020,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.04,0.33,0.63,0
 Londerzeel ,23045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.53,0.27,nvt
 Londerzeel ,23045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.55,0.28,nvt
 Londerzeel ,23045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.45,0.3,0.1
 Londerzeel ,23045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.13,0.44,0.36,0.07
 Lo-Reninge ,32030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.32,0.41,0.27,nvt
 Lo-Reninge ,32030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.26,0.52,0.22,nvt
 Lo-Reninge ,32030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.28,0.27,0.24,0.21
 Lo-Reninge ,32030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.22,0.37,0.16,0.25
 Lovendegem ,44036,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.15,0.55,0.3,nvt
 Lovendegem ,44036,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.22,0.38,0.29,0.1
 Lubbeek ,24066,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.45,0.34,nvt
 Lubbeek ,24066,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.47,0.35,nvt
 Lubbeek ,24066,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.35,0.53,0.01
 Lubbeek ,24066,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.33,0.58,0.01
 Lummen ,71037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.46,0.34,nvt
 Lummen ,71037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.5,0.3,nvt
 Lummen ,71037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.37,0.51,0
 Lummen ,71037,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.35,0.56,0.02
 Maarkedal ,45064,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.5,0.25,nvt
 Maarkedal ,45064,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.56,0.24,nvt
 Maarkedal ,45064,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.16,0.37,0.43,0.04
 Maarkedal ,45064,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.5,0.39,0.02
 Maaseik ,72021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.26,0.44,0.3,nvt
 Maaseik ,72021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.5,0.31,nvt
 Maaseik ,72021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.31,0.56,0.02
 Maaseik ,72021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.36,0.53,0.02
 Maasmechelen ,73107,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.33,0.44,0.23,nvt
 Maasmechelen ,73107,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.32,0.46,0.22,nvt
 Maasmechelen ,73107,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.1,0.38,0.52,0
 Maasmechelen ,73107,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.11,0.44,0.45,0.01
 Machelen ,23047,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.46,0.32,nvt
 Machelen ,23047,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.52,0.31,nvt
 Machelen ,23047,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.14,0.43,0.4,0.03
 Machelen ,23047,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.53,0.33,0.02
 Maldegem ,43010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.47,0.28,nvt
 Maldegem ,43010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.57,0.25,nvt
 Maldegem ,43010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.1,0.4,0.5,0
 Maldegem ,43010,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.45,0.44,0.01
 Malle ,11057,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.54,0.24,nvt
 Malle ,11057,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.55,0.26,nvt
 Malle ,11057,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.31,0.63,0.01
 Malle ,11057,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.04,0.38,0.58,0
 Mechelen ,12025,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.57,0.24,nvt
 Mechelen ,12025,ja,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.4,0.51,0.01
 Meerhout ,13021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.4,0.39,nvt
 Meerhout ,13021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.18,0.52,0.3,nvt
 Meerhout ,13021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.25,0.63,0.03
 Meerhout ,13021,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.07,0.36,0.56,0.01
 Meeuwen-Gruitrode ,72040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.45,0.33,nvt
 Meeuwen-Gruitrode ,72040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.29,0.64,0
 Meise ,23050,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.51,0.29,nvt
 Meise ,23050,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.58,0.27,nvt
 Meise ,23050,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.48,0.45,0.01
 Meise ,23050,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.1,0.47,0.43,0.01
 Melle ,44040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.18,0.53,0.3,nvt
 Melle ,44040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.49,0.36,nvt
 Melle ,44040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.46,0.37,0.03
 Melle ,44040,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.16,0.42,0.38,0.05
 Menen ,34027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.46,0.29,nvt
 Menen ,34027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.24,0.52,0.24,nvt
 Menen ,34027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.17,0.46,0.32,0.05
 Menen ,34027,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.19,0.48,0.26,0.07
 Merchtem ,23052,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.2,0.5,0.3,nvt
 Merchtem ,23052,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.12,0.55,0.34,nvt
 Merchtem ,23052,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.14,0.4,0.4,0.06
 Merchtem ,23052,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.41,0.43,0.04
 Merelbeke ,44043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.5,0.28,nvt
 Merelbeke ,44043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.15,0.58,0.27,nvt
 Merelbeke ,44043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.11,0.47,0.42,0
 Merelbeke ,44043,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.42,0.48,0
 Merksplas ,13023,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.49,0.29,nvt
 Merksplas ,13023,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.22,0.51,0.27,nvt
 Merksplas ,13023,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.05,0.32,0.63,0
 Merksplas ,13023,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.34,0.59,0
 Mesen ,33016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.24,0.37,0.39,nvt
 Mesen ,33016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.2,0.49,0.32,nvt
 Mesen ,33016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.18,0.3,0.21,0.32
 Mesen ,33016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.45,0.24,0.18
 Meulebeke ,37007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.29,0.48,0.22,nvt
 Meulebeke ,37007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.22,0.58,0.2,nvt
 Meulebeke ,37007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.54,0.31,0.01
 Meulebeke ,37007,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.16,0.53,0.3,0.01
 Middelkerke ,35011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.28,0.47,0.26,nvt
 Middelkerke ,35011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.26,0.49,0.25,nvt
 Middelkerke ,35011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.15,0.41,0.38,0.06
 Middelkerke ,35011,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.17,0.4,0.36,0.08
 Moerbeke ,44045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.44,0.35,nvt
 Moerbeke ,44045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.5,0.31,nvt
 Moerbeke ,44045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.4,0.51,0.01
 Moerbeke ,44045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.12,0.41,0.48,0
 Mol ,13025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.49,0.29,nvt
 Mol ,13025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.53,0.3,nvt
 Mol ,13025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.08,0.33,0.58,0.01
 Mol ,13025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.08,0.36,0.56,0
 Moorslede ,36012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.27,0.44,0.3,nvt
 Moorslede ,36012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.19,0.53,0.28,nvt
 Moorslede ,36012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.23,0.4,0.31,0.05
 Moorslede ,36012,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.19,0.53,0.23,0.05
 Mortsel ,11029,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.12,0.48,0.4,nvt
 Mortsel ,11029,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.1,0.51,0.39,nvt
 Mortsel ,11029,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.07,0.35,0.57,0.01
 Mortsel ,11029,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.06,0.34,0.6,0
 Nazareth ,44048,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.22,0.52,0.26,nvt
 Nazareth ,44048,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.55,0.29,nvt
 Nazareth ,44048,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.21,0.45,0.29,0.05
 Nazareth ,44048,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.18,0.53,0.27,0.03
 Neerpelt ,72025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.21,0.48,0.31,nvt
 Neerpelt ,72025,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.06,0.35,0.59,0.01
 Nevele ,44049,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.25,0.45,0.29,nvt
 Nevele ,44049,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.21,0.35,0.31,0.14
 Niel ,11030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.44,0.32,nvt
 Niel ,11030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.17,0.54,0.28,nvt
 Niel ,11030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.41,0.48,0.02
 Niel ,11030,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.09,0.46,0.43,0.03
 Nieuwerkerken ,71045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.23,0.44,0.33,nvt
 Nieuwerkerken ,71045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.16,0.48,0.35,nvt
 Nieuwerkerken ,71045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.16,0.43,0.36,0.05
 Nieuwerkerken ,71045,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.18,0.36,0.38,0.08
 Nieuwpoort ,38016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2017,0.27,0.48,0.24,nvt
 Nieuwpoort ,38016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in andere gemeente",2020,0.25,0.47,0.28,nvt
 Nieuwpoort ,38016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2017,0.09,0.38,0.51,0.02
 Nieuwpoort ,38016,nee,"Bezoek park, bos, groenzone eigen of andere gemeente","Bezoek park, bos, groenzone in eigen gemeente",2020,0.13,0.4,0.47,0.01
