Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Nooit/een uitzonderlijke keer (%) ,Minstens maandelijks (%),Minstens wekelijks (%) 
 Beerse ,13004,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.18,0.14,0.69
 Beersel ,23003,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.23,0.25,0.52
 Beersel ,23003,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.37,0.29,0.34
 Beersel ,23003,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.55,0.19,0.26
 Beersel ,23003,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.12,0.26,0.62
 Beersel ,23003,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.11,0.65
 Beersel ,23003,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.29,0.31,0.41
 Beersel ,23003,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.49,0.29,0.22
 Beersel ,23003,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.21,0.32,0.47
 Beersel ,23003,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.52,0.23,0.25
 Beersel ,23003,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.14,0.19,0.66
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.24,0.46
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.53,0.28,0.19
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.26,0.25,0.49
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.29,0.49
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.32,0.09,0.59
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.28,0.28,0.44
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.63,0.25,0.12
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.33,0.25,0.41
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.59,0.24,0.17
 Begijnendijk ,24007,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.17,0.17,0.66
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.26,0.28,0.46
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.56,0.28,0.17
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.41,0.27,0.32
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.3,0.48
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.1,0.66
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.19,0.37,0.43
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Producten van eerlijke handel (Fairtrade),2020,0.63,0.24,0.13
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Seizoensgroenten,2020,0.27,0.31,0.42
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Vegetarisch eten,2020,0.66,0.17,0.17
 Bekkevoort ,24008,nee,Milieubewust handelen (detail),Weggooien eten beperken,2020,0.2,0.13,0.66
 Beringen ,71004,nee,Milieubewust handelen (detail),Aankoop van plastic beperken,2020,0.3,0.29,0.41
 Beringen ,71004,nee,Milieubewust handelen (detail),Biologische (BIO) producten,2020,0.54,0.27,0.18
 Beringen ,71004,nee,Milieubewust handelen (detail),Korte afstanden per fiets,2020,0.31,0.23,0.46
 Beringen ,71004,nee,Milieubewust handelen (detail),Korte afstanden te voet,2020,0.22,0.26,0.52
 Beringen ,71004,nee,Milieubewust handelen (detail),Kraantjeswater als drinkwater,2020,0.24,0.05,0.72
 Beringen ,71004,nee,Milieubewust handelen (detail),Lokaal geteelde groenten of fruit,2020,0.37,0.29,0.34
