,Gemeente,NSI-code,Vrouw,Man
379,Nazareth,44048,6118,5922
380,Neufchâteau (Neufchâteau),84043,4044,3997
381,Neupré,62121,5127,4893
382,Niel,11030,5311,5284
383,Nieuwerkerken (Hasselt),71045,3577,3450
384,Nieuwpoort,38016,5827,5661
385,Nijlen,12026,11786,11473
386,Nijvel,25072,15324,13761
387,Ninove,41048,20169,19457
388,Oerle,64056,2053,1948
389,Ohey,92097,2557,2587
390,Olen,13029,6246,6336
391,Olne,63057,2040,2028
392,Onhaye,91103,1614,1653
393,Oostende,35013,36423,35134
394,Oosterzele,44052,6888,6952
395,Oostkamp,31022,12040,11958
396,Oostrozebeke,37010,3987,3985
397,Opwijk,23060,7532,7296
398,Opzullik,51068,4227,4188
399,Orp-Jauche,25120,4593,4455
400,Ottignies-Louvain-la-Neuve,25121,16144,15219
401,Oud-Heverlee,24086,5773,5697
402,Oud-Turnhout,13031,7259,7143
403,Oudenaarde,45035,16065,15801
404,Oudenburg,35014,4837,4880
405,Oudergem,21002,18199,16787
406,Oudsbergen,72042,11690,11921
407,Ouffet,61048,1428,1378
408,Oupeye,62079,13197,12374
409,Overijse,23062,13204,12684
410,Paliseul,84050,2728,2741
411,Pecq,57062,2964,2883
412,Peer,72030,8177,8272
413,Pelt,72043,16741,16860
414,Pepingen,23064,2249,2258
415,Pepinster,63058,4734,4551
416,Perwijs (Nijvel),25084,4906,4607
417,Philippeville,93056,4639,4604
418,Pittem,37011,3383,3410
419,Plombières,63088,5359,5323
420,Pont-à-Celles,52055,8953,8496
421,Poperinge,33021,9943,9839
422,Profondeville,92101,6198,5999
423,Putte,12029,9266,9126
424,Puurs-Sint-Amands,12041,13280,13031
425,Péruwelz,57064,8734,8407
426,Quaregnon,53065,9814,9064
427,Quiévrain,53068,3529,3297
428,Quévy,53084,4122,3965
429,Raeren,63061,5578,5419
430,Ramillies,25122,3338,3313
431,Ranst,11035,9679,9687
432,Ravels,13035,7573,7720
433,Rebecq,25123,5525,5452
434,Remicourt,64063,3094,2959
435,Rendeux,83044,1338,1355
436,Retie,13036,5792,5871
437,Riemst,73066,8369,8410
438,Rijkevorsel,13037,6121,6203
439,Rixensart,25091,11927,10929
440,Rochefort,91114,6376,6234
441,Roeselare,36015,32322,32173
442,Ronse,45041,13588,13114
443,Roosdaal,23097,5955,5780
444,Rotselaar,24094,8737,8557
445,Rouvroy,85047,1078,1060
446,Ruiselede,37012,2734,2710
447,Rumes,57072,2673,2613
448,Rumst,11037,7688,7566
449,Saint-Georges-sur-Meuse,64065,3581,3495
450,Saint-Ghislain,53070,12184,11318
451,Saint-Hubert,84059,2888,2784
452,Saint-Léger (Virton),85034,1896,1839
453,Saint-Nicolas (Luik),62093,12689,11680
454,Sainte-Ode,82038,1320,1335
455,Sambreville,92137,14625,13629
456,Sankt Vith,63067,4987,4979
457,Schaarbeek,21015,65816,64874
458,Schelle,11038,4473,4219
459,Scherpenheuvel-Zichem,24134,11800,11575
460,Schilde,11039,10260,9771
461,Schoten,11040,17692,16465
462,Seneffe,55085,5895,5570
463,Seraing,62096,33089,30837
464,Sint-Agatha-Berchem,21003,13076,12222
465,Sint-Genesius-Rode,23101,9632,8996
466,Sint-Gillis,21013,24254,24583
467,Sint-Gillis-Waas,46020,9909,9807
468,Sint-Jans-Molenbeek,21012,49048,48649
469,Sint-Joost-ten-Node,21014,12819,14146
470,Sint-Katelijne-Waver,12035,10865,10526
471,Sint-Lambrechts-Woluwe,21018,31330,27211
472,Sint-Laureins,43014,3393,3547
473,Sint-Lievens-Houtem,41063,5277,5257
474,Sint-Martens-Latem,44064,4268,3995
475,Sint-Niklaas (Sint-Niklaas),46021,40860,39307
476,Sint-Pieters-Leeuw,23077,18103,17383
477,Sint-Pieters-Woluwe,21019,22390,19826
478,Sint-Truiden,71053,20695,20150
479,Sivry-Rance,56088,2428,2422
480,Sombreffe,92114,4245,4159
481,Somme-Leuze,91120,2996,2979
482,Soumagne,62099,8898,8389
483,Spa,63072,5171,4831
484,Spiere-Helkijn,34043,1052,1004
485,Sprimont,62100,7755,7288
486,Stabroek,11044,9460,9322
487,Staden,36019,5696,5834
488,Stavelot,63073,3569,3633
489,Steenokkerzeel,23081,6353,6144
490,Stekene,46024,9651,9379
491,Stoumont,63075,1592,1597
492,Tellin,84068,1281,1247
493,Temse,46025,15415,15220
494,Tenneville,83049,1441,1443
495,Terhulpen,25050,3876,3623
496,Ternat,23086,8258,8025
497,Tervuren,24104,11766,11086
498,Tessenderlo,71057,9541,9343
499,Theux,63076,6100,5857
500,Thimister-Clermont,63089,2794,2814
501,Thuin,56078,7629,7278
502,Tielt (Tielt),37015,10225,10275
503,Tielt-Winge,24135,5512,5525
504,Tienen,24107,18520,17453
