Gemeente,Nis-code,Centrumstad?,Indicator,Nationaliteit,Jaar,Aantal personen met huidige niet-Belgische nationaliteit naar nationaliteitsgroep,Aantal inwoners,Procent
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2019,6854,525935,0.013032
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2019,56697,525935,0.107802
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2019,16373,525935,0.0311312
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2019,24301,525935,0.0462053
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2019,11693,525935,0.0222328
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Andere landen                                     ,2020,34211,529247,0.0646409
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU,2020,55807,529247,0.105446
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",EU13-landen                                       ,2020,18877,529247,0.0356677
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Europa niet-EU                                    ,2020,6734,529247,0.0127237
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Niet-EU,2020,57452,529247,0.108554
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Turkije en Maghreb                                ,2020,16507,529247,0.0311896
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",West- en Noord-EU14-landen                        ,2020,24593,529247,0.0464679
Antwerpen,11002,Ja,"Vreemdelingen, naar nationaliteitsgroep",Zuid-EU14-landen                                  ,2020,12337,529247,0.0233105
