Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe uitwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2020,9,11634,0.77359
Hemiksem,11018,Nee,Externe uitwijking van vreemdelingen,2021,9,11722,0.76779
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2000,3,8306,0.36118
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2001,4,8277,0.48327
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2002,3,8261,0.36315
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2003,2,8162,0.24504
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2004,7,8155,0.85837
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2005,1,8177,0.12229
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2006,4,8307,0.48152
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2007,2,8298,0.24102
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2008,3,8323,0.36045
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2009,10,8212,1.21773
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2010,7,8199,0.85376
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2011,8,8190,0.9768
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2012,4,8199,0.48786
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2013,9,8198,1.09783
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2014,10,8216,1.21714
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2015,2,8193,0.24411
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2016,7,8141,0.85985
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2017,5,8152,0.61335
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2018,8,8115,0.98583
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2019,7,8125,0.86154
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2020,13,8277,1.57062
Hove,11021,Nee,Externe uitwijking van vreemdelingen,2021,7,8287,0.8447
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2000,70,17260,4.05562
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2001,67,17342,3.86345
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2002,65,17369,3.7423
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2003,66,17410,3.79092
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2004,65,17396,3.73649
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2005,63,17440,3.61239
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2006,101,17489,5.77506
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2007,67,17504,3.8277
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2008,65,17574,3.69865
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2009,90,17587,5.11742
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2010,88,17731,4.96306
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2011,71,17952,3.95499
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2012,94,18126,5.18592
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2013,83,18184,4.56445
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2014,77,18165,4.23892
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2015,90,18192,4.94723
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2016,76,18336,4.14485
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2017,75,18490,4.05625
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2018,102,18608,5.48151
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2019,80,18695,4.27922
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2020,50,18872,2.64943
Kalmthout,11022,Nee,Externe uitwijking van vreemdelingen,2021,57,19020,2.99685
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2000,99,25671,3.85649
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2001,114,25642,4.44583
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2002,88,25612,3.43589
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2003,103,25881,3.97975
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2004,92,25974,3.542
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2005,105,25975,4.04235
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2006,114,25948,4.3934
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2007,77,26104,2.94974
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2008,120,26222,4.57631
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2009,118,26297,4.4872
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2010,101,26427,3.82185
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2011,81,26437,3.06389
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2012,98,26546,3.6917
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2013,115,26506,4.33864
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2014,98,26540,3.69254
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2015,81,26702,3.03348
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2016,99,26745,3.70163
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2017,118,26750,4.41121
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2018,90,26771,3.36185
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2019,69,26850,2.56983
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2020,63,26981,2.33498
Kapellen,11023,Nee,Externe uitwijking van vreemdelingen,2021,80,27157,2.94583
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2000,22,19874,1.10697
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2001,20,19971,1.00145
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2002,6,20059,0.29912
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2003,6,20139,0.29793
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2004,11,20170,0.54536
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2005,15,20246,0.74089
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2006,9,20239,0.44469
Kontich,11024,Nee,Externe uitwijking van vreemdelingen,2007,9,20243,0.4446
