Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal vreemde nationaliteiten
Ranst,11035,Nee,Vreemde nationaliteiten,2002,33
Ranst,11035,Nee,Vreemde nationaliteiten,2003,38
Ranst,11035,Nee,Vreemde nationaliteiten,2004,40
Ranst,11035,Nee,Vreemde nationaliteiten,2005,37
Ranst,11035,Nee,Vreemde nationaliteiten,2006,45
Ranst,11035,Nee,Vreemde nationaliteiten,2007,42
Ranst,11035,Nee,Vreemde nationaliteiten,2008,45
Ranst,11035,Nee,Vreemde nationaliteiten,2009,48
Ranst,11035,Nee,Vreemde nationaliteiten,2010,53
Ranst,11035,Nee,Vreemde nationaliteiten,2011,56
Ranst,11035,Nee,Vreemde nationaliteiten,2012,62
Ranst,11035,Nee,Vreemde nationaliteiten,2013,62
Ranst,11035,Nee,Vreemde nationaliteiten,2014,63
Ranst,11035,Nee,Vreemde nationaliteiten,2015,62
Ranst,11035,Nee,Vreemde nationaliteiten,2016,68
Ranst,11035,Nee,Vreemde nationaliteiten,2017,71
Ranst,11035,Nee,Vreemde nationaliteiten,2018,73
Ranst,11035,Nee,Vreemde nationaliteiten,2019,70
Ranst,11035,Nee,Vreemde nationaliteiten,2020,67
Ranst,11035,Nee,Vreemde nationaliteiten,2021,66
Ranst,11035,Nee,Vreemde nationaliteiten,2022,66
Rumst,11037,Nee,Vreemde nationaliteiten,2000,32
Rumst,11037,Nee,Vreemde nationaliteiten,2001,31
Rumst,11037,Nee,Vreemde nationaliteiten,2002,25
Rumst,11037,Nee,Vreemde nationaliteiten,2003,30
Rumst,11037,Nee,Vreemde nationaliteiten,2004,34
Rumst,11037,Nee,Vreemde nationaliteiten,2005,34
Rumst,11037,Nee,Vreemde nationaliteiten,2006,37
Rumst,11037,Nee,Vreemde nationaliteiten,2007,37
Rumst,11037,Nee,Vreemde nationaliteiten,2008,38
Rumst,11037,Nee,Vreemde nationaliteiten,2009,47
Rumst,11037,Nee,Vreemde nationaliteiten,2010,49
Rumst,11037,Nee,Vreemde nationaliteiten,2011,54
