Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau naar nationaliteitsgroep,Aantal inburgeraars die zich hebben aangemeld bij een onthaalbureau,Procent
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Nederland,77,5267,0.0146193
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Onbepaalde nationaliteit,120,5267,0.0227834
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Derdelander,2674,3786,0.706286
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,EU+ (excl. Nederland),1032,3786,0.272583
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Nederland,26,3786,0.00686741
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Onbepaalde nationaliteit,54,3786,0.0142631
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Derdelander,3677,5159,0.712735
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,EU+ (excl. Nederland),1340,5159,0.25974
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Nederland,72,5159,0.0139562
Antwerpen,11002,Ja,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2021,Onbepaalde nationaliteit,70,5159,0.0135685
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Derdelander,18,21,0.857143
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,EU+,2,21,0.0952381
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2010,Onbepaalde nationaliteit,1,21,0.047619
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Derdelander,20,23,0.869565
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,EU+,3,23,0.130435
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2011,Onbepaalde nationaliteit,0,23,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Derdelander,12,16,0.75
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,EU+ (excl. Nederland),4,16,0.25
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Nederland,0,16,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2012,Onbepaalde nationaliteit,0,16,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Derdelander,15,17,0.882353
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,EU+ (excl. Nederland),2,17,0.117647
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Nederland,0,17,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2013,Onbepaalde nationaliteit,0,17,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Derdelander,13,21,0.619048
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,EU+ (excl. Nederland),7,21,0.333333
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Nederland,0,21,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2014,Onbepaalde nationaliteit,1,21,0.047619
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Derdelander,17,20,0.85
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,EU+ (excl. Nederland),2,20,0.1
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Nederland,0,20,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2015,Onbepaalde nationaliteit,1,20,0.05
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Derdelander,17,22,0.772727
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,EU+ (excl. Nederland),4,22,0.181818
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Nederland,1,22,0.0454545
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2016,Onbepaalde nationaliteit,0,22,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Derdelander,24,28,0.857143
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,EU+ (excl. Nederland),4,28,0.142857
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Nederland,0,28,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2017,Onbepaalde nationaliteit,0,28,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Derdelander,29,35,0.828571
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,EU+ (excl. Nederland),6,35,0.171429
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Nederland,0,35,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2018,Onbepaalde nationaliteit,0,35,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Derdelander,25,30,0.833333
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,EU+ (excl. Nederland),5,30,0.166667
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Nederland,0,30,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2019,Onbepaalde nationaliteit,0,30,0.0
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Derdelander,24,26,0.923077
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,EU+ (excl. Nederland),1,26,0.0384615
Boechout,11004,Nee,"Inburgeraars aangemeld bij onthaalbureau, naar nationaliteit",2020,Nederland,1,26,0.0384615
