Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Aantal inwoners,Verhouding per 10000 inwoners
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2015,33,26702,12.3586
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2016,98,26745,36.6424
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2017,73,26750,27.2897
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2018,48,26771,17.9298
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2019,81,26850,30.1676
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2020,60,26981,22.2379
Kapellen,11023,Nee,Inburgeraars met inburgeringscontract,2021,93,27157,34.2453
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2010,34,20489,16.5943
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2011,38,20584,18.4609
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2012,16,20739,7.71493
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2013,20,20883,9.57717
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2014,25,20913,11.9543
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2015,41,20886,19.6304
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2016,41,20873,19.6426
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2017,34,20952,16.2276
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2018,25,21074,11.863
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2019,53,21115,25.1006
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2020,29,21203,13.6773
Kontich,11024,Nee,Inburgeraars met inburgeringscontract,2021,31,21260,14.5814
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2010,61,8363,72.9403
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2011,70,8522,82.1403
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2012,76,8620,88.1671
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2013,13,8668,14.9977
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2014,5,8752,5.71298
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2015,26,8767,29.6567
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2016,76,8821,86.158
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2017,27,8781,30.7482
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2018,27,8787,30.7272
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2019,22,8718,25.2351
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2020,26,8641,30.0891
Lint,11025,Nee,Inburgeraars met inburgeringscontract,2021,32,8575,37.3178
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2010,74,24737,29.9147
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2011,79,24804,31.8497
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2012,67,25143,26.6476
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2013,85,25202,33.7275
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2014,68,25242,26.9392
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2015,82,25356,32.3395
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2016,101,25551,39.5288
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2017,91,25588,35.5635
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2018,86,25824,33.3024
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2019,87,26099,33.3346
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2020,80,26157,30.5845
Mortsel,11029,Nee,Inburgeraars met inburgeringscontract,2021,77,26170,29.423
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2010,9,9268,9.71083
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2011,12,9387,12.7836
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2012,10,9461,10.5697
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2013,15,9582,15.6544
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2014,8,9833,8.13587
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2015,15,9962,15.0572
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2016,20,10136,19.7316
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2017,10,10236,9.76944
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2018,12,10424,11.5119
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2019,16,10501,15.2366
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2020,11,10546,10.4305
Niel,11030,Nee,Inburgeraars met inburgeringscontract,2021,14,10493,13.3422
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2010,104,18253,56.9769
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2011,135,18424,73.274
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2012,163,18463,88.2847
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2013,31,18581,16.6837
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2014,24,18607,12.8984
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2015,48,18696,25.6739
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2016,118,18856,62.5796
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2017,72,18981,37.9327
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2018,44,18981,23.1811
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2019,72,19008,37.8788
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2020,100,19187,52.1186
Ranst,11035,Nee,Inburgeraars met inburgeringscontract,2021,61,19249,31.69
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2010,15,14612,10.2655
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2011,25,14756,16.9423
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2012,22,14876,14.7889
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2013,11,14922,7.37167
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2014,16,15025,10.6489
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2015,26,15118,17.198
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2016,25,15140,16.5125
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2017,20,15083,13.26
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2018,17,15114,11.2478
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2019,17,15090,11.2657
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2020,12,15050,7.97342
Rumst,11037,Nee,Inburgeraars met inburgeringscontract,2021,23,15146,15.1855
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2010,8,8104,9.87167
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2011,8,8080,9.90099
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2012,11,8088,13.6004
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2013,12,8201,14.6324
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2014,6,8183,7.33227
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2015,9,8208,10.9649
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2016,9,8259,10.8972
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2017,5,8357,5.98301
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2018,11,8433,13.044
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2019,7,8518,8.21789
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2020,12,8529,14.0696
Schelle,11038,Nee,Inburgeraars met inburgeringscontract,2021,5,8559,5.8418
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2010,10,19496,5.12926
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2011,12,19429,6.17633
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2012,9,19472,4.62202
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2013,11,19308,5.69712
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2014,10,19400,5.15464
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2015,16,19375,8.25806
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2016,27,19434,13.8932
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2017,15,19516,7.686
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2018,26,19585,13.2755
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2019,21,19652,10.6859
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2020,21,19873,10.5671
Schilde,11039,Nee,Inburgeraars met inburgeringscontract,2021,17,19925,8.53199
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2010,44,33342,13.1966
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2011,58,33600,17.2619
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2012,29,33766,8.58852
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2013,44,33776,13.027
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2014,47,33871,13.8762
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2015,53,34016,15.5809
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2016,42,34063,12.3301
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2017,51,34273,14.8805
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2018,58,34462,16.8301
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2019,36,34517,10.4296
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2020,36,34316,10.4907
Schoten,11040,Nee,Inburgeraars met inburgeringscontract,2021,33,34291,9.62352
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2010,17,17966,9.46232
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2011,16,17961,8.90819
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2012,10,18028,5.54693
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2013,15,18140,8.26902
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2014,12,18304,6.55594
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2015,23,18407,12.4952
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2016,24,18515,12.9625
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2017,22,18498,11.8932
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2018,12,18529,6.47633
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2019,18,18710,9.62052
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2020,26,18789,13.8379
Stabroek,11044,Nee,Inburgeraars met inburgeringscontract,2021,22,18680,11.7773
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2010,15,8984,16.6963
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2011,16,9039,17.7011
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2012,10,9041,11.0607
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2013,10,9137,10.9445
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2014,17,9131,18.6179
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2015,10,9314,10.7365
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2016,23,9365,24.5595
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2017,17,9659,17.6002
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2018,29,9711,29.863
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2019,21,9816,21.3936
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2020,17,9983,17.0289
Wijnegem,11050,Nee,Inburgeraars met inburgeringscontract,2021,21,10084,20.8251
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2010,28,12334,22.7015
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2011,21,12373,16.9724
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2012,15,12386,12.1104
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2013,14,12405,11.2858
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2014,18,12467,14.4381
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2015,32,12547,25.5041
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2016,20,12591,15.8844
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2017,19,12785,14.8612
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2018,26,12893,20.166
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2019,19,12865,14.7688
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2020,28,12943,21.6333
Wommelgem,11052,Nee,Inburgeraars met inburgeringscontract,2021,30,12991,23.0929
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2010,25,19213,13.012
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2011,21,19371,10.8409
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2012,12,19547,6.13905
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2013,19,19731,9.62952
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2014,11,19872,5.53543
Wuustwezel,11053,Nee,Inburgeraars met inburgeringscontract,2015,35,20124,17.3922
