Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Aantal personen van buitenlandse herkomst zonder personen van Nederlandse herkomst,Aantal inwoners ,Procent
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,2617,29809,0.0877923
Brecht,11009,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,2863,30143,0.0949806
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,1307,22253,0.0587337
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,1431,22188,0.0644943
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,1509,22024,0.0685162
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,1559,21964,0.0709798
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,1642,21912,0.0749361
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,1699,21866,0.0777005
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,1774,21668,0.0818719
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,1923,21616,0.0889619
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,1970,21381,0.0921379
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,2106,21222,0.0992366
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,2260,21171,0.10675
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,2416,21103,0.114486
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,2562,21064,0.121629
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,2743,21159,0.129638
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,2902,21251,0.136558
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,3031,21291,0.142361
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,3327,21578,0.154185
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,3519,21835,0.161163
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,3704,21947,0.16877
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,3933,22063,0.178262
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,4174,22261,0.187503
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,4335,22244,0.194884
Edegem,11013,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,4527,22386,0.202225
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,384,16407,0.0234046
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,387,16482,0.0234802
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,421,16665,0.0252625
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,450,16697,0.0269509
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,460,16791,0.0273956
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,499,16872,0.0295756
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,536,17001,0.0315276
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,578,17143,0.0337164
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,646,17417,0.0370902
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2009,714,17636,0.0404854
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2010,773,17797,0.0434343
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2011,849,17919,0.0473799
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2012,931,18075,0.0515076
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2013,994,18066,0.0550205
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2014,1075,18256,0.0588848
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2015,1186,18427,0.0643621
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2016,1294,18615,0.0695138
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2017,1432,18792,0.0762026
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2018,1577,19079,0.0826563
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2019,1626,19038,0.0854081
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2020,1718,19162,0.0896566
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2021,1791,19196,0.0933007
Essen,11016,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2022,1824,19341,0.0943074
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2000,424,9151,0.0463337
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2001,421,9112,0.0462028
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2002,450,9225,0.0487805
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2003,498,9319,0.0534392
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2004,543,9436,0.0575456
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2005,562,9550,0.0588482
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2006,583,9663,0.0603332
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2007,701,9755,0.0718606
Hemiksem,11018,Nee,Personen van buitenlandse herkomst excl. Nederlandse herkomst,2008,779,9866,0.078958
