Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Externe inwijking van vreemdelingen,Aantal inwoners,Verhouding per 1000 inwoners
Essen,11016,Nee,Externe inwijking van vreemdelingen,2008,311,17417,17.85612
Essen,11016,Nee,Externe inwijking van vreemdelingen,2009,323,17636,18.31481
Essen,11016,Nee,Externe inwijking van vreemdelingen,2010,287,17797,16.12631
Essen,11016,Nee,Externe inwijking van vreemdelingen,2011,265,17919,14.78877
Essen,11016,Nee,Externe inwijking van vreemdelingen,2012,229,18075,12.66943
Essen,11016,Nee,Externe inwijking van vreemdelingen,2013,209,18066,11.56869
Essen,11016,Nee,Externe inwijking van vreemdelingen,2014,273,18256,14.95399
Essen,11016,Nee,Externe inwijking van vreemdelingen,2015,214,18427,11.61339
Essen,11016,Nee,Externe inwijking van vreemdelingen,2016,292,18615,15.68627
Essen,11016,Nee,Externe inwijking van vreemdelingen,2017,302,18792,16.07067
Essen,11016,Nee,Externe inwijking van vreemdelingen,2018,216,19079,11.32135
Essen,11016,Nee,Externe inwijking van vreemdelingen,2019,260,19038,13.6569
Essen,11016,Nee,Externe inwijking van vreemdelingen,2020,221,19162,11.53324
Essen,11016,Nee,Externe inwijking van vreemdelingen,2021,242,19196,12.60679
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2000,10,9151,1.09278
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2001,8,9112,0.87796
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2002,14,9225,1.51762
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2003,14,9319,1.50231
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2004,16,9436,1.69563
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2005,11,9550,1.15183
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2006,12,9663,1.24185
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2007,21,9755,2.15274
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2008,21,9866,2.12852
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2009,18,10047,1.79158
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2010,28,10166,2.75428
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2011,35,10318,3.39213
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2012,33,10605,3.11174
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2013,28,10765,2.60102
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2014,35,10866,3.22106
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2015,45,11040,4.07609
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2016,24,11148,2.15285
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2017,43,11233,3.82801
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2018,41,11368,3.60662
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2019,62,11559,5.36379
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2020,43,11634,3.69606
Hemiksem,11018,Nee,Externe inwijking van vreemdelingen,2021,61,11722,5.20389
Hove,11021,Nee,Externe inwijking van vreemdelingen,2000,10,8306,1.20395
Hove,11021,Nee,Externe inwijking van vreemdelingen,2001,10,8277,1.20817
Hove,11021,Nee,Externe inwijking van vreemdelingen,2002,14,8261,1.69471
Hove,11021,Nee,Externe inwijking van vreemdelingen,2003,7,8162,0.85763
Hove,11021,Nee,Externe inwijking van vreemdelingen,2004,7,8155,0.85837
Hove,11021,Nee,Externe inwijking van vreemdelingen,2005,4,8177,0.48918
Hove,11021,Nee,Externe inwijking van vreemdelingen,2006,16,8307,1.92609
