Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal leerlingen dat in gewoon secundair onderwijs minstens 2 jaar schoolse vertraging heeft opgelopen, naar thuistaal, wonend in de gemeente","Aantal leerlingen in het gewoon secundair onderwijs, naar thuistaal, wonend in de gemeente",Procent
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,37,634,0.0583596
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,11,37,0.297297
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,37,661,0.0559758
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,12,38,0.315789
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,30,671,0.0447094
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,14,44,0.318182
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,24,661,0.0363086
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,12,52,0.230769
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,27,697,0.0387374
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,15,71,0.211268
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,27,731,0.0369357
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,17,84,0.202381
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,27,752,0.0359043
Hemiksem,11018,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,18,108,0.166667
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Nederlands,26,611,0.0425532
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2014,Niet Nederlands,2,38,0.0526316
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Nederlands,21,571,0.0367776
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2015,Niet Nederlands,1,38,0.0263158
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Nederlands,17,561,0.030303
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2016,Niet Nederlands,1,38,0.0263158
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Nederlands,12,523,0.0229446
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2017,Niet Nederlands,2,36,0.0555556
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Nederlands,11,525,0.0209524
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2018,Niet Nederlands,3,38,0.0789474
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Nederlands,11,534,0.0205993
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2019,Niet Nederlands,5,41,0.121951
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Nederlands,8,549,0.0145719
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,38,0.0526316
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Nederlands,4,549,0.00728597
Hove,11021,Nee,"Schoolse vertraging secundair onderwijs, naar woonplaats, naar thuistaal",2021,Niet Nederlands,1,33,0.030303
