Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Nationaliteit,Aantal inburgeraars die een inburgeringscontract hebben ondertekend naar nationaliteitsgroep,Aantal inburgeraars die een inburgeringscontract hebben ondertekend,Procent
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Nederland,0,35,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2018,Onbepaalde nationaliteit,0,35,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Derdelander,21,24,0.875
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,EU+ (excl. Nederland),2,24,0.0833333
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Nederland,0,24,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2019,Onbepaalde nationaliteit,1,24,0.0416667
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Derdelander,17,20,0.85
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,EU+ (excl. Nederland),3,20,0.15
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Nederland,0,20,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2020,Onbepaalde nationaliteit,0,20,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Derdelander,14,16,0.875
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,EU+ (excl. Nederland),2,16,0.125
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Nederland,0,16,0.0
Boechout,11004,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2021,Onbepaalde nationaliteit,0,16,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Derdelander,47,53,0.886792
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,EU+,6,53,0.113208
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2010,Onbepaalde nationaliteit,0,53,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Derdelander,62,70,0.885714
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,EU+,7,70,0.1
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2011,Onbepaalde nationaliteit,1,70,0.0142857
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Derdelander,36,46,0.782609
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,EU+ (excl. Nederland),9,46,0.195652
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Nederland,0,46,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2012,Onbepaalde nationaliteit,1,46,0.0217391
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Derdelander,37,47,0.787234
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,EU+ (excl. Nederland),10,47,0.212766
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Nederland,0,47,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2013,Onbepaalde nationaliteit,0,47,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Derdelander,24,43,0.55814
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,EU+ (excl. Nederland),15,43,0.348837
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Nederland,1,43,0.0232558
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2014,Onbepaalde nationaliteit,3,43,0.0697674
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Derdelander,49,63,0.777778
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,EU+ (excl. Nederland),12,63,0.190476
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Nederland,0,63,0.0
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2015,Onbepaalde nationaliteit,2,63,0.031746
Boom,11005,Nee,"Inburgeraars met inburgeringscontract, naar nationaliteit",2016,Derdelander,61,69,0.884058
