Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Statuut,Aantal meerderjarige nieuwkomers naar statuut,Aantal meerderjarige nieuwkomers,Procent
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,Asielzoeker/erkend vluchtel.,10,76,0.13158
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,EU+ student,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,EU+ voldoende bestaansmidd.,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,EU-onderdaan onbekende reden,14,76,0.18421
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,Gezinshereniger,19,76,0.25
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,Onbepaald statuut,0,76,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2019,Overig statuut,11,76,0.14474
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,Arbeidsmigrant,33,66,0.5
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,Asielzoeker/erkend vluchtel.,7,66,0.10606
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,EU+ student,0,66,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,EU+ voldoende bestaansmidd.,2,66,0.0303
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,EU-onderdaan onbekende reden,6,66,0.09091
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,Gezinshereniger,11,66,0.16667
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,Onbepaald statuut,1,66,0.01515
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2020,Overig statuut,6,66,0.09091
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,Arbeidsmigrant,23,70,0.32857
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,Asielzoeker/erkend vluchtel.,6,70,0.08571
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,EU+ student,0,70,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,EU+ voldoende bestaansmidd.,1,70,0.01429
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,EU-onderdaan onbekende reden,2,70,0.02857
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,Gezinshereniger,24,70,0.34286
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,Onbepaald statuut,0,70,0.0
Aartselaar,11001,Nee,"Meerderjarige nieuwkomers, naar statuut",2021,Overig statuut,14,70,0.2
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,Arbeidsmigrant,1604,9182,0.17469
Antwerpen,11002,Ja,"Meerderjarige nieuwkomers, naar statuut",2010,Asielzoeker/erkend vluchtel.,460,9182,0.0501
