Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Taal,"Aantal jongeren die niet meer leerplichtig zijn en Vlaams secundair onderwijs verlaten zonder kwalificatie, wonend in de gemeente, naar thuistaal",Aantal vroegtijdige schoolverlaters en aantal leerlingen dat wel kwalificatie heeft gehaald,Procent
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Nederlands,15,182,0.0824176
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2016,Niet Nederlands,1,20,0.05
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Nederlands,13,167,0.0778443
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2017,Niet Nederlands,7,29,0.241379
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Nederlands,12,179,0.0670391
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2018,Niet Nederlands,5,28,0.178571
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Nederlands,13,158,0.0822785
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2019,Niet Nederlands,4,35,0.114286
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Nederlands,9,148,0.0608108
Edegem,11013,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2020,Niet Nederlands,2,24,0.0833333
Essen,11016,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Nederlands,26,217,0.119816
Essen,11016,Nee,"Vroegtijdige schoolverlaters, naar woonplaats, naar thuistaal",2010,Niet Nederlands,1,4,0.25
