België,Gewest,Provincie,Arrondissement,Gemeente,Woningen gebouwd vanaf 1991
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Sint-Amands,0.244
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bornem,0.243
België,Vlaams Gewest,Provincie Vlaams-Brabant,Arrondissement Leuven,Bierbeek,0.243
België,Waals Gewest,Provincie Luik,Arrondissement Luik,Sprimont,0.243
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Wortegem-Petegem,0.243
België,Waals Gewest,Provincie Luik,Arrondissement Verviers,Bütgenbach,0.242
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Bonheiden,0.242
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Gent,Merelbeke,0.242
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Oudenaarde,Zingem,0.242
België,Waals Gewest,Provincie Luxemburg,Arrondissement Bastenaken,Bertogne,0.241
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Mechelen,Duffel,0.241
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Roeselare,Lichtervelde,0.24
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Aalst,Herzele,0.24
België,Vlaams Gewest,Provincie Oost-Vlaanderen,Arrondissement Eeklo,Eeklo,0.24
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Kortrijk,Waregem,0.239
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Turnhout,Vorselaar,0.239
België,Waals Gewest,Provincie Luxemburg,Arrondissement Aarlen,Aarlen,0.238
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Stabroek,0.238
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Diksmuide,Koekelare,0.238
België,Vlaams Gewest,Provincie West-Vlaanderen,Arrondissement Tielt,Ruiselede,0.237
België,Vlaams Gewest,Provincie Antwerpen,Arrondissement Antwerpen,Brasschaat,0.237
