Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,,Fotovoltaïsche zonne-energie,
Finale consumptie,Industrie sector,,Thermische zonne-energie,0.081
Finale consumptie,Industrie sector,,Geothermische energie,
Finale consumptie,Industrie sector,,Vaste biobrandstoffen,670.252
Finale consumptie,Industrie sector,,Houtskool,
Finale consumptie,Industrie sector,,Biogas,39.851
Finale consumptie,Industrie sector,,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Industrie sector,,Biobenzine,
Finale consumptie,Industrie sector,,Biodiesel,5.055
Finale consumptie,Industrie sector,,Andere vloeibare biobrandstoffen,0.36
Finale consumptie,Industrie sector,,Warmtepompen,4.973
Finale consumptie,Transport sector,Wegverkeer,Waterkracht,
Finale consumptie,Transport sector,Wegverkeer,Windenergie,
Finale consumptie,Transport sector,Wegverkeer,Fotovoltaïsche zonne-energie,
Finale consumptie,Transport sector,Wegverkeer,Thermische zonne-energie,
Finale consumptie,Transport sector,Wegverkeer,Geothermische energie,
Finale consumptie,Transport sector,Wegverkeer,Vaste biobrandstoffen,
Finale consumptie,Transport sector,Wegverkeer,Houtskool,
Finale consumptie,Transport sector,Wegverkeer,Biogas,
Finale consumptie,Transport sector,Wegverkeer,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Transport sector,Wegverkeer,Biobenzine,160.021
Finale consumptie,Transport sector,Wegverkeer,Biodiesel,612.057
Finale consumptie,Transport sector,Wegverkeer,Andere vloeibare biobrandstoffen,
Finale consumptie,Transport sector,Wegverkeer,Warmtepompen,
Finale consumptie,Transport sector,,Waterkracht,
Finale consumptie,Transport sector,,Windenergie,
Finale consumptie,Transport sector,,Fotovoltaïsche zonne-energie,
Finale consumptie,Transport sector,,Thermische zonne-energie,
Finale consumptie,Transport sector,,Geothermische energie,
Finale consumptie,Transport sector,,Vaste biobrandstoffen,
Finale consumptie,Transport sector,,Houtskool,
Finale consumptie,Transport sector,,Biogas,
Finale consumptie,Transport sector,,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Transport sector,,Biobenzine,160.021
Finale consumptie,Transport sector,,Biodiesel,612.057
Finale consumptie,Transport sector,,Andere vloeibare biobrandstoffen,
Finale consumptie,Transport sector,,Warmtepompen,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Waterkracht,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Windenergie,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Fotovoltaïsche zonne-energie,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Thermische zonne-energie,1.457
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Geothermische energie,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Vaste biobrandstoffen,19.576
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Houtskool,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Biogas,28.387
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Biobenzine,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Biodiesel,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Andere vloeibare biobrandstoffen,
Finale consumptie,Andere sectoren,Publieke en commerciële diensten,Warmtepompen,30.725
Finale consumptie,Andere sectoren,Huishoudens,Waterkracht,
Finale consumptie,Andere sectoren,Huishoudens,Windenergie,
Finale consumptie,Andere sectoren,Huishoudens,Fotovoltaïsche zonne-energie,
Finale consumptie,Andere sectoren,Huishoudens,Thermische zonne-energie,24.398
Finale consumptie,Andere sectoren,Huishoudens,Geothermische energie,
Finale consumptie,Andere sectoren,Huishoudens,Vaste biobrandstoffen,623.622
Finale consumptie,Andere sectoren,Huishoudens,Houtskool,29.945
Finale consumptie,Andere sectoren,Huishoudens,Biogas,
Finale consumptie,Andere sectoren,Huishoudens,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Andere sectoren,Huishoudens,Biobenzine,1.245
Finale consumptie,Andere sectoren,Huishoudens,Biodiesel,
Finale consumptie,Andere sectoren,Huishoudens,Andere vloeibare biobrandstoffen,
Finale consumptie,Andere sectoren,Huishoudens,Warmtepompen,154.333
Finale consumptie,Andere sectoren,Land- en bosbouw,Waterkracht,
Finale consumptie,Andere sectoren,Land- en bosbouw,Windenergie,
Finale consumptie,Andere sectoren,Land- en bosbouw,Fotovoltaïsche zonne-energie,
Finale consumptie,Andere sectoren,Land- en bosbouw,Thermische zonne-energie,0.076
Finale consumptie,Andere sectoren,Land- en bosbouw,Geothermische energie,
Finale consumptie,Andere sectoren,Land- en bosbouw,Vaste biobrandstoffen,6.372
Finale consumptie,Andere sectoren,Land- en bosbouw,Houtskool,
Finale consumptie,Andere sectoren,Land- en bosbouw,Biogas,28.587
Finale consumptie,Andere sectoren,Land- en bosbouw,Hernieuwbaar huishoudelijk afval,
Finale consumptie,Andere sectoren,Land- en bosbouw,Biobenzine,
Finale consumptie,Andere sectoren,Land- en bosbouw,Biodiesel,
Finale consumptie,Andere sectoren,Land- en bosbouw,Andere vloeibare biobrandstoffen,
Finale consumptie,Andere sectoren,Land- en bosbouw,Warmtepompen,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Waterkracht,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Windenergie,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Fotovoltaïsche zonne-energie,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Thermische zonne-energie,
Finale consumptie,Andere sectoren,Niet gespecifieerd Andere sectoren,Geothermische energie,
