Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Alle producten,Product Groep,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,Elektriciteit,64.463
Finale consumptie,Industrie sector,Transportmaterialen,Alle producten,,110.286
Finale consumptie,Industrie sector,Machinerie,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Machinerie,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Machinerie,Alle producten,Aardolie en aardolieproducten,12.941
Finale consumptie,Industrie sector,Machinerie,Alle producten,Aardgas,135.297
Finale consumptie,Industrie sector,Machinerie,Alle producten,Hernieuwbare energie en biobrandstoffen,4.304
Finale consumptie,Industrie sector,Machinerie,Alle producten,Niet-hernieuwbaar afval,
Finale consumptie,Industrie sector,Machinerie,Alle producten,Kernenergie,
Finale consumptie,Industrie sector,Machinerie,Alle producten,Warmte,
Finale consumptie,Industrie sector,Machinerie,Alle producten,Elektriciteit,126.294
Finale consumptie,Industrie sector,Machinerie,Alle producten,,278.836
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Vaste fossiele brandstoffen,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Siderurgische gassen,
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Aardolie en aardolieproducten,1.551
Finale consumptie,Industrie sector,Extractieve industrie,Alle producten,Aardgas,15.895
