Gewest,Provincie,Arrondissement,Rubrieken niveau 1,Jaar,Totaal kadastraal inkomen
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,niet gekadastreerde oppervlakte  (5TOT),2020,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),1982,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),1990,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),2000,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),2005,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),2010,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),2015,
Brussels Hoofdstedelijk Gewest,,Arrondissement Brussel-Hoofdstad,totale oppervlakte  (6TOT),2020,
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),1990,5884171.751
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),2000,5747490.946
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),2005,5622386.0
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),2010,5549216.0
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),2015,5700708.0
Waals Gewest,Provincie Waals-Brabant,,totaal onbebouwde percelen  (1TOT),2020,5753248.0
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),1982,
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),1990,198537269.8
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),2000,258818034.998
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),2005,276247560.0
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),2010,303740337.0
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),2015,333307436.0
Waals Gewest,Provincie Waals-Brabant,,totaal bebouwde percelen  (2TOT),2020,355088336.0
