Indicator Groep,Indicator Niveau 1,Indicator Niveau 2,Product Groep,Product Niveau 1,Kiloton olie equivalent (ovw)
Finale consumptie,Industrie sector,Niet-metaalhoudende mineralen,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Antraciet,3.31
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Andere bitumineuze kool,9.245
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Cokesoven-cokes,4.185
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Siderurgische gassen,Cokesovengas,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Siderurgische gassen,Hoogovengas,
Finale consumptie,Industrie sector,"Voeding, dranken en tabak",Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Antraciet,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Andere bitumineuze kool,18.082
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Siderurgische gassen,Cokesovengas,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Siderurgische gassen,Hoogovengas,
Finale consumptie,Industrie sector,"Papier, pulp en drukkerij",Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Antraciet,29.931
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Andere bitumineuze kool,170.415
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Subbitumineuze kool,29.3
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Cokesoven-cokes,22.321
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Industrie sector,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),117.102
Finale consumptie,Industrie sector,,Siderurgische gassen,Cokesovengas,126.384
Finale consumptie,Industrie sector,,Siderurgische gassen,Hoogovengas,48.034
Finale consumptie,Industrie sector,,Siderurgische gassen,Andere teruggewonnen gassen,5.842
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Antraciet,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Andere bitumineuze kool,0.058
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Transport sector,Spoorverkeer,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Transport sector,Spoorverkeer,Siderurgische gassen,Cokesovengas,
Finale consumptie,Transport sector,Spoorverkeer,Siderurgische gassen,Hoogovengas,
Finale consumptie,Transport sector,Spoorverkeer,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Antraciet,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Andere bitumineuze kool,0.058
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Steenkool-briketten,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Transport sector,,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),
Finale consumptie,Transport sector,,Siderurgische gassen,Cokesovengas,
Finale consumptie,Transport sector,,Siderurgische gassen,Hoogovengas,
Finale consumptie,Transport sector,,Siderurgische gassen,Andere teruggewonnen gassen,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Antraciet,36.874
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Cokeskool,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Andere bitumineuze kool,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Subbitumineuze kool,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Steenkool-briketten,0.6
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Cokesoven-cokes,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,Koolteer,
Finale consumptie,Andere sectoren,Huishoudens,Vaste fossiele brandstoffen,BKB (bruinkoolbriketten),1.619
