Date,Nieuw-Zeelandse dollar
2018-10-08,1.7795
2018-10-09,1.7784
2018-10-10,1.7792
2018-10-11,1.7852
2018-10-12,1.7768
2018-10-15,1.7723
2018-10-16,1.7604
2018-10-17,1.7563
2018-10-18,1.7522
2018-10-19,1.7379
2018-10-22,1.7492
2018-10-23,1.7514
2018-10-24,1.7408
2018-10-25,1.7473
2018-10-26,1.7535
2018-10-29,1.7401
2018-10-30,1.7349
2018-10-31,1.7322
2018-11-01,1.719
2018-11-02,1.7154
2018-11-05,1.7085
2018-11-06,1.7105
2018-11-07,1.6954
2018-11-08,1.6838
2018-11-09,1.6815
2018-11-12,1.6699
2018-11-13,1.6684
2018-11-14,1.6651
2018-11-15,1.6601
2018-11-16,1.6653
2018-11-19,1.674
2018-11-20,1.6683
2018-11-21,1.6686
2018-11-22,1.6744
2018-11-23,1.6747
2018-11-26,1.6709
2018-11-27,1.6647
2018-11-28,1.6613
2018-11-29,1.6573
2018-11-30,1.6556
2018-12-03,1.6376
2018-12-04,1.6406
2018-12-05,1.6398
2018-12-06,1.6517
2018-12-07,1.6558
2018-12-10,1.6581
2018-12-11,1.6526
2018-12-12,1.6573
2018-12-13,1.6564
2018-12-14,1.6613
2018-12-17,1.6668
2018-12-18,1.6556
2018-12-19,1.663
2018-12-20,1.6884
2018-12-21,1.6925
2018-12-24,1.6974
2018-12-27,1.6964
2018-12-28,1.706
2018-12-31,1.7056
2019-01-02,1.7049
2019-01-03,1.7085
2019-01-04,1.7045
2019-01-07,1.6925
2019-01-08,1.7023
2019-01-09,1.6908
2019-01-10,1.6983
2019-01-11,1.6873
2019-01-14,1.682
2019-01-15,1.6757
2019-01-16,1.6817
2019-01-17,1.6895
2019-01-18,1.6841
2019-01-21,1.6895
2019-01-22,1.6885
2019-01-23,1.6741
2019-01-24,1.6731
2019-01-25,1.672
2019-01-28,1.6687
2019-01-29,1.6694
2019-01-30,1.6723
2019-01-31,1.6607
2019-02-01,1.6567
2019-02-04,1.6634
2019-02-05,1.6556
2019-02-06,1.6619
2019-02-07,1.6779
2019-02-08,1.6809
2019-02-11,1.6768
2019-02-12,1.6767
2019-02-13,1.6596
2019-02-14,1.6488
2019-02-15,1.6432
2019-02-18,1.6473
2019-02-19,1.6549
2019-02-20,1.6513
2019-02-21,1.6648
2019-02-22,1.6639
2019-02-25,1.647
2019-02-26,1.652
2019-02-27,1.6581
2019-02-28,1.6685
2019-03-01,1.6656
2019-03-04,1.666
2019-03-05,1.6682
2019-03-06,1.6679
2019-03-07,1.6631
2019-03-08,1.653
2019-03-11,1.6492
2019-03-12,1.6436
2019-03-13,1.6538
2019-03-14,1.6585
2019-03-15,1.6532
2019-03-18,1.6537
2019-03-19,1.6535
2019-03-20,1.6567
2019-03-21,1.652
2019-03-22,1.6433
2019-03-25,1.6413
2019-03-26,1.6345
2019-03-27,1.6568
2019-03-28,1.6509
2019-03-29,1.65
2019-04-01,1.6458
2019-04-02,1.6544
2019-04-03,1.6551
2019-04-04,1.6599
2019-04-05,1.6662
2019-04-08,1.6694
2019-04-09,1.6718
2019-04-10,1.6697
2019-04-11,1.6705
2019-04-12,1.6748
2019-04-15,1.6729
2019-04-16,1.6713
2019-04-17,1.6784
2019-04-18,1.6819
2019-04-23,1.6889
2019-04-24,1.6922
2019-04-25,1.6884
2019-04-26,1.6739
2019-04-29,1.673
2019-04-30,1.6805
2019-05-02,1.6916
2019-05-03,1.6856
2019-05-06,1.6936
2019-05-07,1.6957
2019-05-08,1.6993
2019-05-09,1.7015
2019-05-10,1.7025
2019-05-13,1.7087
2019-05-14,1.7056
2019-05-15,1.7067
2019-05-16,1.7063
2019-05-17,1.7107
2019-05-20,1.7071
2019-05-21,1.7142
2019-05-22,1.7173
2019-05-23,1.7155
2019-05-24,1.7109
2019-05-27,1.7107
2019-05-28,1.7088
2019-05-29,1.7106
2019-05-30,1.7095
2019-05-31,1.7134
2019-06-03,1.704
2019-06-04,1.7062
2019-06-05,1.6943
2019-06-06,1.6983
2019-06-07,1.7016
2019-06-10,1.7086
2019-06-11,1.7206
2019-06-12,1.7206
2019-06-13,1.7201
2019-06-14,1.7241
2019-06-17,1.7259
2019-06-18,1.7192
2019-06-19,1.7173
2019-06-20,1.7158
2019-06-21,1.7261
2019-06-24,1.7244
2019-06-25,1.714
2019-06-26,1.7004
2019-06-27,1.6996
2019-06-28,1.696
2019-07-01,1.6941
2019-07-02,1.6956
2019-07-03,1.6883
2019-07-04,1.6888
2019-07-05,1.6912
2019-07-08,1.6888
2019-07-09,1.6937
2019-07-10,1.6997
2019-07-11,1.6889
2019-07-12,1.6871
2019-07-15,1.6751
2019-07-16,1.6693
2019-07-17,1.6679
2019-07-18,1.664
2019-07-19,1.6582
2019-07-22,1.6543
2019-07-23,1.6605
2019-07-24,1.6613
2019-07-25,1.6596
2019-07-26,1.6767
2019-07-29,1.6796
2019-07-30,1.6855
2019-07-31,1.6883
2019-08-01,1.6856
2019-08-02,1.7026
2019-08-05,1.7138
2019-08-06,1.7073
2019-08-07,1.7411
2019-08-08,1.7335
2019-08-09,1.7254
2019-08-12,1.7352
2019-08-13,1.7417
2019-08-14,1.74
2019-08-15,1.7311
2019-08-16,1.7208
2019-08-19,1.7296
2019-08-20,1.7286
2019-08-21,1.7308
2019-08-22,1.738
2019-08-23,1.736
2019-08-26,1.7431
2019-08-27,1.7415
2019-08-28,1.7458
2019-08-29,1.7457
2019-08-30,1.749
2019-09-02,1.7396
2019-09-03,1.7385
2019-09-04,1.7343
2019-09-05,1.7305
2019-09-06,1.7208
2019-09-09,1.7129
2019-09-10,1.7194
2019-09-11,1.7147
2019-09-12,1.7032
2019-09-13,1.7354
2019-09-16,1.7324
2019-09-17,1.7426
2019-09-18,1.7428
2019-09-19,1.7536
2019-09-20,1.7579
2019-09-23,1.7514
2019-09-24,1.7428
2019-09-25,1.7435
2019-09-26,1.7315
2019-09-27,1.7388
2019-09-30,1.7375
2019-10-01,1.7528
2019-10-02,1.7512
2019-10-03,1.7421
2019-10-04,1.735
2019-10-07,1.7452
2019-10-08,1.7373
2019-10-09,1.7381
2019-10-10,1.7422
2019-10-11,1.7419
2019-10-14,1.7529
2019-10-15,1.7551
2019-10-16,1.7653
2019-10-17,1.7564
2019-10-18,1.7488
2019-10-21,1.7432
2019-10-22,1.7358
2019-10-23,1.7361
2019-10-24,1.74
2019-10-25,1.7456
2019-10-28,1.7482
2019-10-29,1.7481
2019-10-30,1.7504
2019-10-31,1.7359
2019-11-01,1.7326
2019-11-04,1.7358
2019-11-05,1.7339
2019-11-06,1.7385
2019-11-07,1.7383
2019-11-08,1.7426
2019-11-11,1.7348
2019-11-12,1.7382
2019-11-13,1.7228
2019-11-14,1.7223
2019-11-15,1.7255
2019-11-18,1.7275
2019-11-19,1.7259
2019-11-20,1.7222
2019-11-21,1.7239
2019-11-22,1.7236
2019-11-25,1.7187
2019-11-26,1.7165
2019-11-27,1.7121
2019-11-28,1.7136
2019-11-29,1.709
2019-12-02,1.7019
2019-12-03,1.7
2019-12-04,1.698
2019-12-05,1.6997
2019-12-06,1.6886
2019-12-09,1.689
2019-12-10,1.6945
2019-12-11,1.6924
2019-12-12,1.6906
2019-12-13,1.6873
2019-12-16,1.6859
2019-12-17,1.6974
2019-12-18,1.692
2019-12-19,1.6898
2019-12-20,1.6811
2019-12-23,1.6732
2019-12-24,1.6716
2019-12-27,1.6655
2019-12-30,1.6638
2019-12-31,1.6653
2020-01-02,1.6718
2020-01-03,1.6718
2020-01-06,1.6788
2020-01-07,1.6833
2020-01-08,1.6739
2020-01-09,1.6796
2020-01-10,1.6769
2020-01-13,1.6769
2020-01-14,1.6803
2020-01-15,1.6905
2020-01-16,1.6769
2020-01-17,1.6782
2020-01-20,1.6796
2020-01-21,1.6811
2020-01-22,1.6782
2020-01-23,1.6797
2020-01-24,1.6684
2020-01-27,1.6814
2020-01-28,1.6844
2020-01-29,1.6868
2020-01-30,1.6973
2020-01-31,1.7083
2020-02-03,1.7106
2020-02-04,1.7102
2020-02-05,1.7006
2020-02-06,1.6994
2020-02-07,1.7094
2020-02-10,1.7108
2020-02-11,1.7055
2020-02-12,1.6832
2020-02-13,1.6835
2020-02-14,1.6864
2020-02-17,1.6864
2020-02-18,1.6921
2020-02-19,1.6883
2020-02-20,1.7046
2020-02-21,1.7104
2020-02-24,1.7095
2020-02-25,1.716
2020-02-26,1.7273
2020-02-27,1.7326
2020-02-28,1.7608
2020-03-02,1.7738
2020-03-03,1.7728
2020-03-04,1.7667
2020-03-05,1.7744
2020-03-06,1.7858
2020-03-09,1.8021
2020-03-10,1.8006
2020-03-11,1.7951
2020-03-12,1.8173
2020-03-13,1.812
2020-03-16,1.8499
2020-03-17,1.842
2020-03-18,1.8727
2020-03-19,1.8903
2020-03-20,1.8521
2020-03-23,1.8939
2020-03-24,1.8676
2020-03-25,1.8479
2020-03-26,1.853
2020-03-27,1.8548
2020-03-30,1.8405
2020-03-31,1.8417
2020-04-01,1.8547
2020-04-02,1.838
2020-04-03,1.8423
2020-04-06,1.82
2020-04-07,1.816
2020-04-08,1.8194
2020-04-09,1.8128
2020-04-14,1.8008
2020-04-15,1.8223
2020-04-16,1.821
2020-04-17,1.8043
2020-04-20,1.7962
2020-04-21,1.8181
2020-04-22,1.82
2020-04-23,1.7947
2020-04-24,1.7991
2020-04-27,1.7893
2020-04-28,1.7956
2020-04-29,1.7831
2020-04-30,1.7705
2020-05-04,1.8083
2020-05-05,1.791
2020-05-06,1.7839
2020-05-07,1.782
2020-05-08,1.7668
2020-05-11,1.7808
2020-05-12,1.7742
2020-05-13,1.7983
2020-05-14,1.8068
2020-05-15,1.8145
2020-05-18,1.8096
2020-05-19,1.8004
2020-05-20,1.7859
2020-05-21,1.7949
2020-05-22,1.787
2020-05-25,1.789
2020-05-26,1.7717
2020-05-27,1.7719
2020-05-28,1.7776
2020-05-29,1.7863
2020-06-01,1.7824
2020-06-02,1.768
2020-06-03,1.7532
