Date,Indiase roepie
2020-05-13,81.8825
2020-05-14,81.592
2020-05-15,81.9885
2020-05-18,82.1435
2020-05-19,82.8535
2020-05-20,82.8635
2020-05-21,83.0545
2020-05-22,82.7265
2020-05-25,82.7925
2020-05-26,82.927
2020-05-27,83.245
2020-05-28,83.4635
2020-05-29,84.1025
2020-06-01,83.938
2020-06-02,84.039
2020-06-03,84.5055
2020-06-04,84.932
2020-06-05,85.63
2020-06-08,85.241
2020-06-09,85.3085
2020-06-10,85.903
2020-06-11,86.057
2020-06-12,85.7875
2020-06-15,85.5275
2020-06-16,86.048
2020-06-17,85.5505
2020-06-18,85.673
2020-06-19,85.352
2020-06-22,85.2585
2020-06-23,85.438
2020-06-24,85.3285
2020-06-25,84.712
2020-06-26,84.8215
2020-06-29,85.192
2020-06-30,84.6235
2020-07-01,84.622
2020-07-02,84.354
2020-07-03,83.821
2020-07-06,84.4535
2020-07-07,84.4645
2020-07-08,84.6455
2020-07-09,85.0455
2020-07-10,84.841
2020-07-13,85.216
2020-07-14,85.7725
2020-07-15,85.971
2020-07-16,85.8555
2020-07-17,85.67
2020-07-20,85.6355
2020-07-21,85.3805
2020-07-22,86.288
2020-07-23,86.577
2020-07-24,86.866
2020-07-27,87.885
2020-07-28,87.714
2020-07-29,87.694
2020-07-30,87.94
