Date,Hongkongse dollar
2021-07-27,9.1915
2021-07-28,9.188
2021-07-29,9.2272
2021-07-30,9.2451
2021-08-02,9.2398
2021-08-03,9.2428
2021-08-04,9.2236
2021-08-05,9.216
2021-08-06,9.1827
2021-08-09,9.1521
2021-08-10,9.1228
2021-08-11,9.1187
2021-08-12,9.1336
2021-08-13,9.1573
2021-08-16,9.1641
2021-08-17,9.1704
2021-08-18,9.1299
2021-08-19,9.1121
2021-08-20,9.0924
2021-08-23,9.1313
2021-08-24,9.1448
2021-08-25,9.1357
2021-08-26,9.1625
2021-08-27,9.1619
2021-08-30,9.1891
2021-08-31,9.2086
2021-09-01,9.1907
2021-09-02,9.2075
2021-09-03,9.2285
2021-09-06,9.2226
2021-09-07,9.2197
2021-09-08,9.1971
2021-09-09,9.2072
2021-09-10,9.2086
2021-09-13,9.1641
2021-09-14,9.1899
2021-09-15,9.2021
2021-09-16,9.1575
2021-09-17,9.1691
2021-09-20,9.1188
2021-09-21,9.1389
2021-09-22,9.1333
2021-09-23,9.1205
2021-09-24,9.124
2021-09-27,9.1054
2021-09-28,9.0882
2021-09-29,9.0714
2021-09-30,9.0184
2021-10-01,9.0304
2021-10-04,9.0597
2021-10-05,9.0324
2021-10-06,8.9876
2021-10-07,9.0008
2021-10-08,9.0066
2021-10-11,9.0049
2021-10-12,8.9915
2021-10-13,8.9952
2021-10-14,9.0244
2021-10-15,9.0258
2021-10-18,9.0268
2021-10-19,9.0635
2021-10-20,9.0375
2021-10-21,9.0487
2021-10-22,9.0412
2021-10-25,9.0191
2021-10-26,9.0335
2021-10-27,9.0363
2021-10-28,9.0167
2021-10-29,9.0563
2021-11-01,9.0108
2021-11-02,9.0297
2021-11-03,9.0114
2021-11-04,9.0059
2021-11-05,8.967
2021-11-08,9.0175
2021-11-09,9.0186
2021-11-10,9.0035
2021-11-11,8.9299
2021-11-12,8.9206
2021-11-15,8.9156
2021-11-16,8.8544
2021-11-17,8.814
2021-11-18,8.8366
2021-11-19,8.7832
2021-11-22,8.7875
2021-11-23,8.7744
2021-11-24,8.7372
2021-11-25,8.7514
2021-11-26,8.8045
2021-11-29,8.795
2021-11-30,8.8601
2021-12-01,8.8154
2021-12-02,8.8375
2021-12-03,8.8006
2021-12-06,8.8053
2021-12-07,8.7753
2021-12-08,8.8088
2021-12-09,8.8186
2021-12-10,8.7918
2021-12-13,8.7967
2021-12-14,8.8227
2021-12-15,8.7861
2021-12-16,8.8432
2021-12-17,8.8388
2021-12-20,8.7943
2021-12-21,8.8111
2021-12-22,8.8155
2021-12-23,8.8215
2021-12-24,8.8255
2021-12-27,8.8246
2021-12-28,8.838
2021-12-29,8.8127
2021-12-30,8.8399
2021-12-31,8.8333
2022-01-03,8.8541
2022-01-04,8.7919
2022-01-05,8.8227
2022-01-06,8.8272
2022-01-07,8.8133
2022-01-10,8.8233
2022-01-11,8.8384
2022-01-12,8.863
2022-01-13,8.9289
2022-01-14,8.9119
2022-01-17,8.8844
2022-01-18,8.8576
2022-01-19,8.8392
2022-01-20,8.8274
2022-01-21,8.837
2022-01-24,8.8003
2022-01-25,8.7725
2022-01-26,8.7791
2022-01-27,8.6951
2022-01-28,8.681
2022-01-31,8.6994
2022-02-01,8.7779
2022-02-02,8.8245
2022-02-03,8.7966
2022-02-04,8.9286
2022-02-07,8.9202
2022-02-08,8.8923
2022-02-09,8.9106
2022-02-10,8.9142
2022-02-11,8.9054
2022-02-14,8.8283
2022-02-15,8.8527
2022-02-16,8.8712
2022-02-17,8.8692
2022-02-18,8.8566
2022-02-21,8.8443
2022-02-22,8.8495
2022-02-23,8.8529
2022-02-24,8.7178
2022-02-25,8.7578
2022-02-28,8.7514
2022-03-01,8.7234
2022-03-02,8.6785
2022-03-03,8.6547
2022-03-04,8.5411
2022-03-07,8.5154
2022-03-08,8.5183
2022-03-09,8.5974
2022-03-10,8.6688
2022-03-11,8.6007
2022-03-14,8.5815
