Date,Zuid-Koreaanse won
2019-08-20,1337.78
2019-08-21,1335.79
2019-08-22,1340.99
2019-08-23,1341.19
2019-08-26,1348.82
2019-08-27,1346.43
2019-08-28,1345.47
2019-08-29,1340.01
2019-08-30,1333.21
2019-09-02,1329.49
2019-09-03,1328.8
2019-09-04,1327.96
2019-09-05,1323.9
2019-09-06,1314.72
2019-09-09,1315.99
2019-09-10,1315.87
2019-09-11,1312.34
2019-09-12,1296.86
2019-09-13,1306.0
2019-09-16,1306.13
2019-09-17,1311.65
2019-09-18,1316.22
2019-09-19,1321.64
2019-09-20,1311.24
2019-09-23,1315.27
2019-09-24,1313.66
2019-09-25,1318.39
2019-09-26,1313.91
2019-09-27,1310.45
2019-09-30,1304.83
2019-10-01,1310.56
2019-10-02,1318.2
2019-10-03,1317.84
2019-10-04,1312.32
2019-10-07,1315.2
2019-10-08,1316.41
2019-10-09,1314.77
2019-10-10,1315.87
2019-10-11,1308.61
2019-10-14,1307.06
2019-10-15,1305.51
2019-10-16,1310.51
2019-10-17,1310.18
2019-10-18,1314.33
2019-10-21,1309.04
2019-10-22,1305.83
2019-10-23,1303.45
2019-10-24,1305.33
2019-10-25,1304.87
2019-10-28,1297.1
2019-10-29,1295.86
2019-10-30,1297.21
2019-10-31,1302.87
2019-11-01,1300.09
2019-11-04,1296.92
2019-11-05,1284.34
2019-11-06,1284.3
2019-11-07,1279.27
2019-11-08,1276.66
2019-11-11,1288.0
2019-11-12,1281.79
2019-11-13,1288.15
2019-11-14,1287.87
2019-11-15,1285.34
2019-11-18,1289.14
2019-11-19,1292.01
2019-11-20,1294.49
2019-11-21,1303.11
2019-11-22,1303.07
2019-11-25,1293.96
2019-11-26,1296.87
2019-11-27,1295.88
2019-11-28,1298.0
2019-11-29,1295.81
2019-12-02,1306.52
2019-12-03,1319.15
2019-12-04,1321.2
2019-12-05,1320.69
2019-12-06,1317.31
2019-12-09,1319.29
2019-12-10,1320.74
2019-12-11,1321.5
2019-12-12,1323.39
2019-12-13,1308.97
2019-12-16,1304.67
2019-12-17,1299.38
2019-12-18,1296.56
2019-12-19,1296.6
2019-12-20,1286.58
2019-12-23,1288.52
2019-12-24,1287.71
2019-12-27,1294.42
2019-12-30,1294.35
2019-12-31,1296.28
2020-01-02,1298.24
2020-01-03,1300.32
2020-01-06,1308.83
