Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Ja (%),Nee (%)
 Eeklo ,43005,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.46,0.54
 Eeklo ,43005,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.52,0.48
 Eeklo ,43005,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.46,0.54
 Eeklo ,43005,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.77,0.23
 Erpe-Mere ,41082,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.54,0.46
 Erpe-Mere ,41082,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.61,0.39
 Erpe-Mere ,41082,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.39,0.61
 Erpe-Mere ,41082,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.74,0.26
 Essen ,11016,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.39,0.61
 Essen ,11016,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.49,0.51
 Essen ,11016,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.57,0.43
 Essen ,11016,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.82,0.18
 Evergem ,44019,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.59,0.41
 Evergem ,44019,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.64,0.36
 Evergem ,44019,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.48,0.52
 Evergem ,44019,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.84,0.16
 Galmaarden ,23023,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.69,0.31
 Galmaarden ,23023,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.66,0.34
 Galmaarden ,23023,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.45,0.55
 Galmaarden ,23023,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.73,0.27
 Gavere ,44020,nee,Duurzaamheid van de woning,Energierecupererend,2017,0.65,0.35
 Gavere ,44020,nee,Duurzaamheid van de woning,Energierecupererend,2020,0.69,0.31
 Gavere ,44020,nee,Duurzaamheid van de woning,Energiezuinig,2017,0.5,0.5
 Gavere ,44020,nee,Duurzaamheid van de woning,Energiezuinig,2020,0.75,0.25
