Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,minder of gelijk aan 30% (%),meer dan 30% (%)
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.7,0.3
 Horebeke ,45062,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.52,0.48
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.83,0.17
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.86,0.14
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2017,0.87,0.13
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote eigenaar,2020,0.89,0.11
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2017,0.58,0.42
 Houthalen-Helchteren ,72039,nee,"Woonquote, naar eigenaar/huurder",Woonquote huurder,2020,0.61,0.39
 Houthulst ,32006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2017,0.85,0.15
 Houthulst ,32006,nee,"Woonquote, naar eigenaar/huurder",Woonquote algemeen,2020,0.85,0.15
