Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,5 jaar of minder (%),6 tot en met 10 jaar (%),Meer dan 10 jaar (%)
 Boortmeerbeek ,24014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.12,0.12,0.76
 Boortmeerbeek ,24014,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.17,0.08,0.75
 Borgloon ,73009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.13,0.64
 Borgloon ,73009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.14,0.65
 Borgloon ,73009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.15,0.08,0.77
 Borgloon ,73009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.12,0.74
 Bornem ,12007,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.23,0.15,0.62
 Bornem ,12007,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.26,0.11,0.62
 Bornem ,12007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.11,0.09,0.8
 Bornem ,12007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.12,0.07,0.82
 Borsbeek ,11007,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.3,0.17,0.53
 Borsbeek ,11007,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.33,0.14,0.53
 Borsbeek ,11007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.23,0.14,0.63
 Borsbeek ,11007,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.21,0.15,0.64
 Boutersem ,24016,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.22,0.12,0.65
 Boutersem ,24016,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.15,0.64
 Boutersem ,24016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.18,0.1,0.73
 Boutersem ,24016,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.16,0.12,0.72
 Brakel ,45059,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.18,0.16,0.66
 Brakel ,45059,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.2,0.16,0.64
 Brakel ,45059,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.1,0.13,0.77
 Brakel ,45059,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.14,0.13,0.73
 Brasschaat ,11008,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.27,0.13,0.6
 Brasschaat ,11008,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.3,0.13,0.58
 Brasschaat ,11008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.1,0.74
 Brasschaat ,11008,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.07,0.8
 Brecht ,11009,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.25,0.15,0.59
 Brecht ,11009,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.24,0.15,0.61
 Brecht ,11009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.16,0.12,0.72
 Brecht ,11009,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.15,0.12,0.73
 Bredene ,35002,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.31,0.19,0.5
 Bredene ,35002,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.31,0.16,0.53
 Bredene ,35002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.2,0.16,0.65
 Bredene ,35002,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.19,0.12,0.69
 Bree ,72004,nee,Woonduur gemeente en buurt,Woonduur: adres,2017,0.24,0.16,0.6
 Bree ,72004,nee,Woonduur gemeente en buurt,Woonduur: adres,2020,0.21,0.13,0.66
 Bree ,72004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2017,0.14,0.13,0.72
 Bree ,72004,nee,Woonduur gemeente en buurt,Woonduur: gemeente/stad,2020,0.13,0.08,0.79
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: adres,2014,0.26,0.15,0.59
 Brugge ,31005,ja,Woonduur gemeente en buurt,Woonduur: adres,2017,0.29,0.13,0.58
