Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Aantal personen met een (equivalent) leefloon,Aantal inwoners,Procent
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2021,50,11722,0.00426548
Hemiksem,11018,Nee,Personen met (equivalent) leefloon,2022,41,11812,0.00347105
Hove,11021,Nee,Personen met (equivalent) leefloon,2003,73,8162,0.00894389
Hove,11021,Nee,Personen met (equivalent) leefloon,2004,55,8155,0.00674433
Hove,11021,Nee,Personen met (equivalent) leefloon,2005,48,8177,0.00587012
Hove,11021,Nee,Personen met (equivalent) leefloon,2006,28,8307,0.00337065
Hove,11021,Nee,Personen met (equivalent) leefloon,2007,28,8298,0.00337431
Hove,11021,Nee,Personen met (equivalent) leefloon,2008,9,8323,0.00108134
Hove,11021,Nee,Personen met (equivalent) leefloon,2009,9,8212,0.00109596
Hove,11021,Nee,Personen met (equivalent) leefloon,2010,26,8199,0.00317112
Hove,11021,Nee,Personen met (equivalent) leefloon,2011,16,8190,0.0019536
Hove,11021,Nee,Personen met (equivalent) leefloon,2012,12,8199,0.00146359
Hove,11021,Nee,Personen met (equivalent) leefloon,2013,14,8198,0.00170773
Hove,11021,Nee,Personen met (equivalent) leefloon,2014,21,8216,0.00255599
Hove,11021,Nee,Personen met (equivalent) leefloon,2015,16,8193,0.00195289
Hove,11021,Nee,Personen met (equivalent) leefloon,2016,14,8141,0.00171969
Hove,11021,Nee,Personen met (equivalent) leefloon,2017,20,8152,0.00245339
Hove,11021,Nee,Personen met (equivalent) leefloon,2018,18,8115,0.00221811
Hove,11021,Nee,Personen met (equivalent) leefloon,2019,21,8125,0.00258462
Hove,11021,Nee,Personen met (equivalent) leefloon,2020,23,8277,0.00277878
Hove,11021,Nee,Personen met (equivalent) leefloon,2021,22,8287,0.00265476
Hove,11021,Nee,Personen met (equivalent) leefloon,2022,16,8311,0.00192516
Kalmthout,11022,Nee,Personen met (equivalent) leefloon,2003,136,17410,0.0078116
