Gemeente,NIS-code,Centrumstad,Indicator,Jaar,Aantal kinderen van 0 tot en met 17 jaar dat leeft in een gezin met zeer lage werkintensiteit,Aantal inwoners van 0 tot en met 17 jaar (KSZ-cijfers),Procent
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,122,3535,0.034512
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,135,3502,0.0385494
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,132,3442,0.0383498
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,137,3432,0.0399184
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,131,3456,0.0379051
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,145,3461,0.0418954
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,125,3453,0.0362004
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,102,3398,0.0300177
Ranst,11035,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,119,3459,0.034403
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,97,2914,0.0332876
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,119,2889,0.0411907
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,154,2935,0.0524702
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,150,2977,0.0503863
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,135,2958,0.0456389
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,147,2974,0.0494284
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,161,2987,0.0539002
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,179,3027,0.0591345
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,161,3019,0.0533289
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,135,2995,0.0450751
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,135,2929,0.0460908
Rumst,11037,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,145,2956,0.0490528
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,80,1696,0.0471698
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,95,1704,0.0557512
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,109,1683,0.0647653
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,84,1660,0.0506024
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2013,81,1692,0.0478723
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2014,96,1663,0.057727
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2015,99,1645,0.0601824
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2016,83,1625,0.0510769
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2017,82,1639,0.0500305
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2018,89,1660,0.0536145
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2019,75,1691,0.0443525
Schelle,11038,Nee,Kinderen in gezin met zeer lage werkintensiteit,2020,76,1704,0.0446009
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2009,302,3747,0.0805978
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2010,277,3688,0.0751085
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2011,264,3575,0.0738462
Schilde,11039,Nee,Kinderen in gezin met zeer lage werkintensiteit,2012,295,3544,0.0832393
