Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"Aantal personen met een (equivalent) leefloon, met een IGO of GIB, met een IVT en/of met een IT",Aantal inwoners,Procent
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2013,667,25202,0.0264662
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2014,671,25242,0.0265827
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2015,702,25356,0.0276858
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2016,737,25551,0.0288443
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2017,756,25588,0.0295451
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2018,745,25824,0.0288491
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2019,750,26099,0.0287367
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2020,743,26157,0.0284054
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2021,774,26170,0.0295759
Mortsel,11029,Nee,Personen met sociale bijstandsuitkering,2022,805,26189,0.0307381
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2011,155,9387,0.0165122
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2012,170,9461,0.0179685
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2013,183,9582,0.0190983
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2014,184,9833,0.0187125
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2015,188,9962,0.0188717
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2016,179,10136,0.0176598
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2017,175,10236,0.0170965
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2018,193,10424,0.018515
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2019,199,10501,0.0189506
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2020,218,10546,0.0206713
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2021,208,10493,0.0198227
Niel,11030,Nee,Personen met sociale bijstandsuitkering,2022,196,10595,0.0184993
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2011,251,18424,0.0136235
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2012,242,18463,0.0131073
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2013,244,18581,0.0131317
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2014,275,18607,0.0147794
Ranst,11035,Nee,Personen met sociale bijstandsuitkering,2015,272,18696,0.0145486
