Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Nee (%)
 Kruisem ,45068,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Kruishoutem ,45017,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Kuurne ,34023,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Kuurne ,34023,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Laakdal ,13053,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Laakdal ,13053,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Laarne ,42010,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Laarne ,42010,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Lanaken ,73042,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.84,0.16
 Lanaken ,73042,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.86,0.14
 Landen ,24059,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.74,0.26
 Landen ,24059,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Langemark-Poelkapelle ,33040,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Langemark-Poelkapelle ,33040,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.8,0.2
 Lebbeke ,42011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Lebbeke ,42011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Lede ,41034,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Lede ,41034,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Ledegem ,36010,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.82,0.18
 Ledegem ,36010,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Lendelede ,34025,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Lendelede ,34025,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.75,0.25
 Lennik ,23104,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.75,0.25
 Lennik ,23104,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Leopoldsburg ,71034,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Leopoldsburg ,71034,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.71,0.29
 Leuven ,24062,ja,Inwoners die al tien jaar in de gemeente wonen,2014,0.67,0.33
 Leuven ,24062,ja,Inwoners die al tien jaar in de gemeente wonen,2017,0.66,0.34
 Leuven ,24062,ja,Inwoners die al tien jaar in de gemeente wonen,2020,0.64,0.36
 Lichtervelde ,36011,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.79,0.21
 Lichtervelde ,36011,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Liedekerke ,23044,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Liedekerke ,23044,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Lier ,12021,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Lier ,12021,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.66,0.34
 Lierde ,45063,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.72,0.28
 Lierde ,45063,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Lievegem ,44085,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.78,0.22
 Lille ,13019,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.85,0.15
 Lille ,13019,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Linkebeek ,23100,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.67,0.33
 Linkebeek ,23100,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.69,0.31
 Lint ,11025,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.7,0.3
 Lint ,11025,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.76,0.24
 Linter ,24133,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.71,0.29
 Linter ,24133,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.73,0.27
 Lochristi ,44034,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Lochristi ,44034,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.8,0.2
 Lokeren ,46014,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.8,0.2
 Lokeren ,46014,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.84,0.16
 Lommel ,72020,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.86,0.14
 Lommel ,72020,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.86,0.14
 Londerzeel ,23045,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Londerzeel ,23045,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.72,0.28
 Lo-Reninge ,32030,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.81,0.19
 Lo-Reninge ,32030,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.79,0.21
 Lovendegem ,44036,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Lubbeek ,24066,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.76,0.24
 Lubbeek ,24066,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.7,0.3
 Lummen ,71037,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.77,0.23
 Lummen ,71037,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.82,0.18
 Maarkedal ,45064,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.78,0.22
 Maarkedal ,45064,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.74,0.26
 Maaseik ,72021,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.83,0.17
 Maaseik ,72021,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.8,0.2
 Maasmechelen ,73107,nee,Inwoners die al tien jaar in de gemeente wonen,2017,0.86,0.14
 Maasmechelen ,73107,nee,Inwoners die al tien jaar in de gemeente wonen,2020,0.84,0.16
