Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Nooit/minder dan 1 keer per maand (%),Meerdere keren per maand (%),Minstens wekelijks (%),Dagelijks (%)
 Knokke-Heist ,31043,nee,Actief bewegen,2020,0.07,0.18,0.43,0.31
 Koekelare ,32010,nee,Actief bewegen,2020,0.18,0.27,0.37,0.18
 Koksijde ,38014,nee,Actief bewegen,2020,0.08,0.16,0.47,0.29
 Kontich ,11024,nee,Actief bewegen,2020,0.12,0.19,0.47,0.23
 Kortemark ,32011,nee,Actief bewegen,2020,0.18,0.21,0.39,0.21
 Kortenaken ,24054,nee,Actief bewegen,2020,0.16,0.23,0.45,0.16
 Kortenberg ,24055,nee,Actief bewegen,2020,0.1,0.2,0.43,0.27
 Kortessem ,73040,nee,Actief bewegen,2020,0.1,0.21,0.49,0.2
 Kortrijk ,34022,ja,Actief bewegen,2017,0.15,0.21,0.42,0.22
 Kortrijk ,34022,ja,Actief bewegen,2020,0.1,0.19,0.46,0.25
 Kraainem ,23099,nee,Actief bewegen,2020,0.1,0.14,0.49,0.27
 Kruibeke ,46013,nee,Actief bewegen,2020,0.11,0.2,0.42,0.28
 Kruisem ,45068,nee,Actief bewegen,2020,0.14,0.26,0.44,0.16
 Kuurne ,34023,nee,Actief bewegen,2020,0.12,0.17,0.44,0.27
 Laakdal ,13053,nee,Actief bewegen,2020,0.07,0.22,0.51,0.2
 Laarne ,42010,nee,Actief bewegen,2020,0.17,0.26,0.42,0.15
 Lanaken ,73042,nee,Actief bewegen,2020,0.13,0.18,0.46,0.24
 Landen ,24059,nee,Actief bewegen,2020,0.15,0.2,0.4,0.25
 Langemark-Poelkapelle ,33040,nee,Actief bewegen,2020,0.18,0.19,0.41,0.22
 Lebbeke ,42011,nee,Actief bewegen,2020,0.17,0.16,0.5,0.17
 Lede ,41034,nee,Actief bewegen,2020,0.18,0.21,0.43,0.18
 Ledegem ,36010,nee,Actief bewegen,2020,0.17,0.22,0.41,0.19
 Lendelede ,34025,nee,Actief bewegen,2020,0.13,0.2,0.47,0.19
 Lennik ,23104,nee,Actief bewegen,2020,0.14,0.24,0.45,0.16
 Leopoldsburg ,71034,nee,Actief bewegen,2020,0.15,0.19,0.42,0.25
 Leuven ,24062,ja,Actief bewegen,2017,0.09,0.16,0.45,0.3
 Leuven ,24062,ja,Actief bewegen,2020,0.06,0.14,0.48,0.32
 Lichtervelde ,36011,nee,Actief bewegen,2020,0.15,0.22,0.43,0.2
 Liedekerke ,23044,nee,Actief bewegen,2020,0.15,0.22,0.42,0.21
 Lier ,12021,nee,Actief bewegen,2020,0.09,0.12,0.51,0.28
 Lierde ,45063,nee,Actief bewegen,2020,0.14,0.25,0.44,0.17
 Lievegem ,44085,nee,Actief bewegen,2020,0.14,0.19,0.43,0.23
 Lille ,13019,nee,Actief bewegen,2020,0.13,0.15,0.51,0.21
 Linkebeek ,23100,nee,Actief bewegen,2020,0.11,0.15,0.48,0.27
 Lint ,11025,nee,Actief bewegen,2020,0.09,0.18,0.45,0.27
 Linter ,24133,nee,Actief bewegen,2020,0.14,0.23,0.44,0.19
 Lochristi ,44034,nee,Actief bewegen,2020,0.13,0.21,0.44,0.21
 Lokeren ,46014,nee,Actief bewegen,2020,0.12,0.21,0.43,0.25
 Lommel ,72020,nee,Actief bewegen,2020,0.1,0.15,0.5,0.25
 Londerzeel ,23045,nee,Actief bewegen,2020,0.15,0.18,0.49,0.18
 Lo-Reninge ,32030,nee,Actief bewegen,2020,0.22,0.22,0.39,0.17
 Lubbeek ,24066,nee,Actief bewegen,2020,0.12,0.18,0.48,0.22
 Lummen ,71037,nee,Actief bewegen,2020,0.13,0.19,0.43,0.25
 Maarkedal ,45064,nee,Actief bewegen,2020,0.14,0.24,0.44,0.18
 Maaseik ,72021,nee,Actief bewegen,2020,0.12,0.15,0.47,0.26
 Maasmechelen ,73107,nee,Actief bewegen,2020,0.13,0.21,0.44,0.22
 Machelen ,23047,nee,Actief bewegen,2020,0.18,0.2,0.41,0.21
 Maldegem ,43010,nee,Actief bewegen,2020,0.1,0.21,0.44,0.24
 Malle ,11057,nee,Actief bewegen,2020,0.11,0.18,0.49,0.22
 Mechelen ,12025,ja,Actief bewegen,2017,0.11,0.16,0.44,0.29
 Mechelen ,12025,ja,Actief bewegen,2020,0.09,0.18,0.49,0.24
 Meerhout ,13021,nee,Actief bewegen,2020,0.11,0.19,0.46,0.24
 Meise ,23050,nee,Actief bewegen,2020,0.14,0.22,0.41,0.23
