Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ontevreden (%),Neutraal (%),Tevreden (%)
 Hemiksem ,11018,nee,Tevredenheid over kinderopvang,2017,0.13,0.26,0.62
 Hemiksem ,11018,nee,Tevredenheid over kinderopvang,2020,0.14,0.31,0.55
 Herent ,24038,nee,Tevredenheid over kinderopvang,2017,0.13,0.28,0.59
 Herent ,24038,nee,Tevredenheid over kinderopvang,2020,0.16,0.27,0.57
 Herentals ,13011,nee,Tevredenheid over kinderopvang,2017,0.07,0.24,0.69
 Herentals ,13011,nee,Tevredenheid over kinderopvang,2020,0.05,0.2,0.75
 Herenthout ,13012,nee,Tevredenheid over kinderopvang,2017,0.03,0.16,0.82
 Herenthout ,13012,nee,Tevredenheid over kinderopvang,2020,0.01,0.13,0.87
 Herk-De-Stad ,71024,nee,Tevredenheid over kinderopvang,2017,0.05,0.18,0.77
 Herk-De-Stad ,71024,nee,Tevredenheid over kinderopvang,2020,0.07,0.19,0.74
 Herne ,23032,nee,Tevredenheid over kinderopvang,2017,0.14,0.28,0.57
 Herne ,23032,nee,Tevredenheid over kinderopvang,2020,0.14,0.27,0.59
 Herselt ,13013,nee,Tevredenheid over kinderopvang,2017,0.04,0.17,0.78
 Herselt ,13013,nee,Tevredenheid over kinderopvang,2020,0.06,0.27,0.68
 Herzele ,41027,nee,Tevredenheid over kinderopvang,2017,0.09,0.16,0.74
 Herzele ,41027,nee,Tevredenheid over kinderopvang,2020,0.09,0.15,0.76
 Heusden-Zolder ,71070,nee,Tevredenheid over kinderopvang,2017,0.04,0.26,0.7
 Heusden-Zolder ,71070,nee,Tevredenheid over kinderopvang,2020,0.13,0.21,0.66
 Heuvelland ,33039,nee,Tevredenheid over kinderopvang,2017,0.14,0.22,0.65
 Heuvelland ,33039,nee,Tevredenheid over kinderopvang,2020,0.15,0.26,0.59
 Hoegaarden ,24041,nee,Tevredenheid over kinderopvang,2017,0.13,0.21,0.67
 Hoegaarden ,24041,nee,Tevredenheid over kinderopvang,2020,0.1,0.26,0.64
 Hoeilaart ,23033,nee,Tevredenheid over kinderopvang,2017,0.14,0.24,0.61
 Hoeilaart ,23033,nee,Tevredenheid over kinderopvang,2020,0.1,0.28,0.62
 Hoeselt ,73032,nee,Tevredenheid over kinderopvang,2017,0.06,0.14,0.8
 Hoeselt ,73032,nee,Tevredenheid over kinderopvang,2020,0.08,0.23,0.69
 Holsbeek ,24043,nee,Tevredenheid over kinderopvang,2017,0.11,0.25,0.64
 Holsbeek ,24043,nee,Tevredenheid over kinderopvang,2020,0.08,0.28,0.64
 Hooglede ,36006,nee,Tevredenheid over kinderopvang,2017,0.02,0.1,0.88
 Hooglede ,36006,nee,Tevredenheid over kinderopvang,2020,0.05,0.12,0.83
 Hoogstraten ,13014,nee,Tevredenheid over kinderopvang,2017,0.09,0.16,0.75
 Hoogstraten ,13014,nee,Tevredenheid over kinderopvang,2020,0.09,0.21,0.71
 Horebeke ,45062,nee,Tevredenheid over kinderopvang,2017,0.06,0.21,0.72
